regions(hg38),enhancer_activity_REF_1,enhancer_activity_REF_2,enhancer_activity_REF_3,enhancer_activity_REF_4,enhancer_activity_ALT_1,enhancer_activity_ALT_2,enhancer_activity_ALT_3,enhancer_activity_ALT_4,REF,ALT,Coding,Active_REF,Active_ALT,qvalue,pvalue,fold,"final_sig(1 DA enhancer; 2 IA enhancer, 0=no change)"
chr11:99634755-99634923,0.08914475,0.2954709,0.09224367,0.15137595,-0.6534822,-0.9060058,-0.5607263,-0.2591026,-0.5948292,0.15705882,FALSE,0,0,0.02293676,0.00719782,0.75188803,0
chr1:201131176-201131347,0.18690054,-0.1671591,-0.1693297,-0.4177579,-0.061362,0.20397262,0.14056505,-0.1299705,0.0383013,-0.1418365,FALSE,0,0,0.38204059,0.27589374,-0.1801378,0
chr1:201147836-201148007,-0.0662987,0.14497701,0.29937211,0.35927163,-0.1632191,-0.1109633,-0.0069864,-0.1000854,-0.0953136,0.18433052,FALSE,0,1,0.10727814,0.05417089,0.27964408,0
chr1:201329886-201330057,-0.5827048,-1.2317771,-0.4355531,-0.2851215,-0.8266194,-0.4208749,-0.8018538,-0.9249906,-0.7435847,-0.6337892,FALSE,0,0,0.74425919,0.66308912,0.10979554,0
chr1:201426574-201426745,-0.1978433,-0.1890202,-0.0468329,-0.0254214,0.13327725,0.12584936,0.01662046,0.0422498,0.07949922,-0.1147794,FALSE,0,0,0.04063019,0.01527028,-0.1942787,0
chr1:201469018-201469189,0.45003318,0.65603589,0.60077117,0.58265226,0.70426677,0.82604377,0.71506913,0.71978074,0.7412901,0.57237312,FALSE,1,1,0.05317612,0.02191047,-0.168917,0
chr1:201481200-201481371,-0.031192,0.12102172,0.08463603,0.03322315,-0.0837257,0.11071544,0.0019682,0.04863352,0.01939787,0.05192222,FALSE,0,0,0.65759345,0.56025082,0.03252436,0
chr1:201483214-201483385,0.6084535,0.26897901,0.20007352,0.21586071,0.13996102,0.39710459,0.21378301,0.23241994,0.24581714,0.32334169,FALSE,1,1,0.61824217,0.51560571,0.07752455,0
chr1:202005037-202005208,0.18344877,0.14075938,0.38970343,0.13981233,0.20321005,0.02955382,-0.0054458,0.15797271,0.0963227,0.21343098,FALSE,0,1,0.27833113,0.18463423,0.11710828,0
chr1:202114218-202114388,0.02256576,-0.2216472,0.02944413,-0.1022509,-0.1998772,-0.1626283,-0.1597099,-0.0345638,-0.1391948,-0.0679721,FALSE,0,0,0.46532608,0.35342036,0.07122274,0
chr1:202601371-202601542,0.10194323,-0.0140979,0.06811559,-0.0754354,0.2797614,0.13019182,0.08564341,0.25178877,0.18684635,0.02013138,FALSE,1,0,0.07838151,0.03619972,-0.166715,0
chr1:203030021-203030192,0.12926275,0.09644767,-0.1406216,-0.1701711,0.04339091,-0.0813089,0.06579471,-0.0382412,-0.0025911,-0.0212706,FALSE,0,0,0.88103168,0.83694963,-0.0186795,0
chr1:203082164-203082335,0.08975623,0.07954708,-0.0008871,-0.0700491,-0.0367796,0.21146321,-0.0458199,-0.0838546,0.01125226,0.02459179,FALSE,0,0,0.90512691,0.8700655,0.01333953,0
chr1:203177138-203177309,-0.2924447,-0.4353237,-0.4181838,-0.3179675,-0.2749738,-0.4427738,-0.4113829,-0.4673963,-0.3991317,-0.3659799,FALSE,0,0,0.67026245,0.57490807,0.03315177,0
chr1:203224881-203225052,-0.6960046,-0.5735516,-0.634307,-0.6180874,0.03996439,0.16372733,0.10794533,0.1667564,0.11959836,-0.6304876,FALSE,0,0,0.00015722,1.67E-06,-0.750086,0
chr1:203406543-203406714,-0.8705579,-0.9536304,-1.1076723,-0.9429883,-0.095104,-0.0943178,0.00189631,-0.1831088,-0.0926586,-0.9687122,FALSE,0,0,0.00052269,1.45E-05,-0.8760537,0
chr1:203440131-203440302,-0.0012582,-0.0541078,-0.0522378,0.10008922,0.52520867,0.51375536,0.5644805,0.4575614,0.51525148,-0.0018786,FALSE,1,0,0.00112462,6.79E-05,-0.5171301,0
chr1:203440135-203440306,0.08970827,0.03631824,-0.1783511,-0.2296065,-0.5911551,-0.441158,-0.6428545,-0.5767097,-0.5629693,-0.0704828,FALSE,0,0,0.01338997,0.00339612,0.49248655,0
chr1:203650630-203650801,-0.1443057,-0.0825804,-0.1347455,-0.0289919,0.10376036,0.01642355,-0.6506317,-0.1506448,-0.1702732,-0.0976559,FALSE,0,0,0.77254607,0.69790996,0.07261728,0
chr1:203809048-203809219,0.5158998,0.41241041,0.42554371,0.20819394,-0.1013655,-0.1108829,0.14928113,-0.1277618,-0.0476823,0.39051197,FALSE,0,1,0.01283515,0.00320805,0.43819425,0
chr1:203860798-203860959,-0.063584,-0.1624159,-0.0762778,0.33764107,0.11678264,0.24433559,0.38328343,0.13247702,0.21921967,0.00884085,FALSE,1,0,0.25518875,0.16433991,-0.2103788,0
chr1:204140697-204140868,-0.0153119,-0.1192462,0.11410704,-0.3620565,-0.0553195,-0.2389507,-0.1291167,-0.1064646,-0.1324629,-0.0956269,FALSE,0,0,0.81626642,0.75076936,0.03683597,0
chr1:204256782-204256953,-0.0965011,-0.414837,-0.0826353,-0.4039353,-0.248367,-0.1120039,-0.0673047,-0.1601478,-0.1469558,-0.2494772,FALSE,0,0,0.47613825,0.36371825,-0.1025213,0
chr1:204368685-204368856,-0.0632089,-0.0953373,-0.1290623,-0.2699375,0.16971872,0.2005553,0.1344425,0.22866749,0.183346,-0.1393865,FALSE,1,0,0.01104909,0.00259604,-0.3227325,0
chr1:204446751-204446922,0.25910702,0.11877034,-0.320351,0.16792256,-0.0810182,0.09670457,-0.245614,-0.0450918,-0.0687549,0.05636224,FALSE,0,0,0.54357329,0.43591143,0.1251171,0
chr1:204477026-204477197,-0.3471859,-0.2631132,-0.2465279,-0.0045561,0.06604316,0.06947657,0.18371682,-0.231271,0.02199138,-0.2153458,FALSE,0,0,0.15502619,0.08686042,-0.2373371,0
chr1:205054981-205055152,0.2177099,0.4161765,-0.2432308,0.16406315,0.34163478,0.25088185,0.37179534,0.45567431,0.35499657,0.13867969,FALSE,1,0,0.31815577,0.21780136,-0.2163169,0
chr1:205800653-205800824,-0.0549968,-0.0577753,-0.1815697,-0.0816484,-0.1269951,-0.2661138,-0.4316063,-0.2788559,-0.2758928,-0.0939976,FALSE,0,0,0.10662927,0.05369572,0.18189523,0
chr1:20618492-20618663,-0.1389166,0.0623225,-0.0061832,0.40236921,-0.767662,-1.076458,-1.080929,-0.5918821,-0.8792328,0.07989798,FALSE,0,0,0.00647705,0.00121566,0.95913076,0
chr1:206716481-206716652,0.20447403,0.23571784,0.12607649,0.11185576,-0.075414,-0.2395119,-0.0747543,-0.0615309,-0.1128028,0.16953103,FALSE,0,1,0.00993839,0.00223654,0.28233381,0
chr1:206726391-206726562,-0.3000257,-0.3577251,-0.4940197,-0.2484336,-0.0803672,-0.0183311,-0.0423805,-0.0621299,-0.0508022,-0.350051,FALSE,0,0,0.02636126,0.00867971,-0.2992489,0
chr1:207205125-207205296,0.29337221,0.2157668,0.42503786,0.25027764,-0.0561038,0.16810634,0.17111057,0.34471538,0.15695711,0.29611363,FALSE,1,1,0.30092049,0.20267207,0.13915652,0
chr1:207310853-207311024,-0.0906463,-0.0261193,0.02877621,-0.3072169,0.21976669,-0.3440077,0.01171232,-0.0391172,-0.0379115,-0.0988016,FALSE,0,0,0.75535394,0.67663132,-0.0608901,0
chr1:208106381-208106552,0.07312955,0.39604795,0.01883606,-0.1157812,-0.0727362,-0.2849454,0.15367574,0.06021409,-0.0359479,0.09305809,FALSE,0,0,0.5155686,0.40632084,0.12900603,0
chr1:208132881-208133052,-0.0912561,-0.031985,-0.0763415,-0.0688117,0.00424474,-0.002695,-0.1814634,0.03300257,-0.0367278,-0.0670986,FALSE,0,0,0.68046198,0.58506865,-0.0303708,0
chr1:20841674-20841845,0.37830281,0.1698542,0.40264565,0.33429344,-0.2278734,0.21784677,0.57654574,0.3737212,0.23506008,0.32127402,FALSE,1,1,0.7397612,0.65771713,0.08621395,0
chr1:209188429-209188600,-0.7414552,-0.8262158,-0.8802349,-0.7680039,-0.0352046,0.38088258,-0.0345355,0.23099374,0.13553406,-0.8039774,FALSE,0,0,0.00792448,0.00162071,-0.9395115,0
chr1:209772566-209772737,-0.180818,-0.3040166,-0.2501557,-0.1438885,-0.1737175,-0.0064298,0.19585613,-0.0981236,-0.0206037,-0.2197197,FALSE,0,0,0.14912394,0.08265943,-0.199116,0
chr12:100634897-100635068,-0.002808,0.01579028,-0.242478,0.0409315,0.34898407,0.20119828,0.09447024,-0.0251398,0.1548782,-0.0471411,FALSE,0,0,0.17230692,0.09964163,-0.2020193,0
chr12:101414267-101414438,0.4920767,-0.1426463,-0.3191946,-0.1510982,0.20423266,0.22906964,0.03113498,0.14262313,0.1517651,-0.0302156,FALSE,0,0,0.49990577,0.38867472,-0.1819807,0
chr12:101415305-101415476,0.01922857,0.4526772,0.15766519,0.0223178,0.57181825,-3.27E-05,0.0989824,0.10449837,0.19381657,0.16297219,FALSE,0,0,0.89553303,0.8571265,-0.0308444,0
chr1:210373974-210374145,0.23371919,0.38063772,0.49333323,0.25471681,0.29969319,0.13134959,-0.0005401,0.12196152,0.13811605,0.34060174,FALSE,0,1,0.11237026,0.05736402,0.20248569,0
chr12:104447817-104447988,0.49380052,0.65542969,0.6232012,0.62836899,-0.3706331,-0.3320276,-0.5178272,-0.3696448,-0.3975332,0.6002001,FALSE,0,1,0.00016748,2.05E-06,0.99773329,2
chr12:104469827-104469998,0.37940757,0.33382527,0.31825222,0.12220767,-0.0225329,0.1482172,0.03106753,0.29762688,0.11359467,0.28842319,FALSE,0,1,0.17981916,0.10522966,0.17482851,0
chr12:104541781-104541952,-0.0452602,-0.0106463,0.06118885,0.18621142,0.14014657,-0.0566124,0.08158068,0.0966331,0.06543698,0.04787342,FALSE,0,0,0.8555646,0.80092051,-0.0175636,0
chr12:105069781-105069951,-0.0966809,-0.0366906,-0.366519,-0.2864316,-0.2360041,-0.2411909,-0.1343455,-0.3842101,-0.2489376,-0.1965805,FALSE,0,0,0.6908267,0.59748465,0.05235711,0
chr12:106592496-106592667,0.07303478,0.11450627,0.06778205,0.14397855,-0.1386175,0.02635589,-0.3558523,-0.1844737,-0.1631469,0.09982541,FALSE,0,0,0.08596061,0.04077034,0.26297233,0
chr1:210682337-210682508,0.08529959,0.10496258,0.24314806,-0.140744,0.41755845,0.07755483,0.21568741,-0.0936856,0.15427878,0.07316656,FALSE,0,0,0.66513246,0.56974108,-0.0811122,0
chr12:107073377-107073548,0.21288816,0.32254913,0.52398527,0.28523557,-0.314724,-0.5659349,-0.331916,-0.1178761,-0.3326127,0.33616453,FALSE,0,1,0.00730066,0.00145272,0.66877725,2
chr12:107323226-107323397,-0.2801451,-0.1111064,-0.2569821,0.0660018,-0.0344284,-0.0552273,0.09184219,-0.238114,-0.0589819,-0.1455579,FALSE,0,0,0.54938358,0.44133097,-0.0865761,0
chr12:108644230-108644401,-0.1058868,-0.1234802,0.00519756,0.08306779,-0.2285369,-0.1974847,-0.291216,-0.0546917,-0.1929823,-0.0352754,FALSE,0,0,0.12333806,0.06464086,0.15770691,0
chr12:109020567-109020738,-0.3380001,0.22751358,-0.0649682,-0.0041211,0.1124194,0.0034228,0.16734953,0.01009573,0.07332186,-0.044894,FALSE,0,0,0.50499496,0.39484388,-0.1182158,0
chr12:109447378-109447549,-0.1511942,-0.6119456,-0.3973745,-0.057699,0.00156601,0.32006706,0.53641935,0.37454318,0.3081489,-0.3045533,FALSE,1,0,0.0313281,0.0109363,-0.6127022,1
chr12:109985821-109985992,-0.4780252,-0.3227192,-0.2965342,-0.2368682,-0.0998294,0.04266656,-0.1227124,-0.1876428,-0.0918795,-0.3335367,FALSE,0,0,0.0383075,0.01425601,-0.2416572,0
chr12:110258587-110258758,0.1252087,0.08863005,0.04947292,0.08902627,-0.1395044,-0.0345082,-0.2179108,-0.3552612,-0.1867961,0.08808449,FALSE,0,0,0.05693972,0.02380256,0.27488063,0
chr12:110422921-110423092,-0.6385414,-0.4190674,-0.192898,-0.5377433,0.39640362,0.54245499,0.24987938,0.12287891,0.32790422,-0.4470625,FALSE,1,0,0.0060834,0.00109268,-0.7749667,1
chr12:110501750-110501921,0.09129677,0.09904439,-0.1006287,-0.0230336,-0.7658583,-0.5765149,-0.8980542,-0.6207059,-0.7152833,0.01666972,FALSE,0,0,0.00293506,0.00033499,0.73195303,0
chr12:110510731-110510902,-0.0074532,0.04245149,-0.0286905,0.04034062,0.01000114,-0.2520101,-0.0683908,-0.0699739,-0.0950934,0.01166212,FALSE,0,0,0.23565275,0.14882474,0.10675553,0
chr12:110717541-110717712,0.11263692,0.25593083,0.41154348,0.180372,-0.6870281,-0.7706356,-0.3900509,-0.5701783,-0.6044732,0.2401208,FALSE,0,1,0.00250175,0.00025785,0.84459402,2
chr12:110901011-110901182,0.44370436,0.13819244,0.30184645,0.11814404,-0.0856648,0.34599871,0.07002043,0.31244321,0.16069939,0.25047182,FALSE,0,1,0.6139585,0.5111838,0.08977243,0
chr1:211101426-211101597,0.19851775,0.03700391,0.13000072,-0.0158613,-0.0566935,-0.0089738,0.00344659,0.09641391,0.00854831,0.08741527,FALSE,0,0,0.32709411,0.22595664,0.07886696,0
chr12:111414478-111414649,-0.2049358,-0.0873757,-0.4080415,-0.0706663,-0.2082911,-0.038763,-0.0607766,-0.0385872,-0.0866045,-0.1927548,FALSE,0,0,0.39272251,0.28596211,-0.1061504,0
chr12:111414634-111414805,-0.2958558,-0.2341406,-0.1827448,-0.265895,-0.8896109,-0.8504562,-0.7812949,-0.8032303,-0.8311481,-0.244659,FALSE,0,0,0.00019641,2.54E-06,0.58648908,0
chr12:111442227-111442398,-0.3709544,-0.2415942,-0.6199541,-0.1436908,-0.0387195,-0.0498367,-0.0891962,-0.0586555,-0.059102,-0.3440484,FALSE,0,0,0.12979966,0.06907485,-0.2849464,0
chr12:111638097-111638268,0.17008426,0.21977495,0.19295713,0.24920944,-0.0305535,-0.1893029,-0.1818029,-0.1090102,-0.1276674,0.20800644,FALSE,0,1,0.00554866,0.00094802,0.33567382,0
chr12:112017515-112017686,-0.2796118,-0.5426256,-0.6731193,-0.5787602,0.35969083,0.01854091,0.08004983,0.13834763,0.1491573,-0.5185292,FALSE,0,0,0.00601569,0.0010722,-0.6676865,0
chr12:112154579-112154750,-0.2450456,-0.0731134,-0.2203542,0.00537816,0.24715801,0.26754311,0.303964,0.16807762,0.24668569,-0.1332838,FALSE,1,0,0.01402546,0.00364462,-0.3799694,0
chr12:112430703-112430874,-0.1509433,-0.1270918,-0.2179009,-0.0856385,-0.2916686,-0.3132419,-0.1284339,-0.2964576,-0.2574505,-0.1453936,FALSE,0,0,0.14526524,0.07978368,0.11205692,0
chr1:211260664-211260835,-0.3764966,-0.5345187,-0.6651241,-0.7892024,-1.0724537,-1.0284494,-0.9268356,-0.928557,-0.9890739,-0.5913354,FALSE,0,0,0.03832161,0.01425242,0.3977385,0
chr12:113164578-113164749,0.0119006,0.00840327,-0.3886236,-0.3720989,-0.0794902,-0.4579185,-0.2397031,-0.2014955,-0.2446518,-0.1851047,FALSE,0,0,0.7606626,0.68208827,0.05954714,0
chr12:113780650-113780821,0.34236747,0.14611968,0.01711165,0.0782924,-0.1470156,-0.0627804,-0.0450966,-0.0047822,-0.0649187,0.1459728,FALSE,0,1,0.1022117,0.05066985,0.21089149,0
chr12:115423455-115423626,-0.0801237,-0.1526892,-0.0522886,-0.0185878,0.04483438,-0.2060625,0.25995994,0.12491491,0.05591167,-0.0759223,FALSE,0,0,0.38139936,0.27490302,-0.131834,0
chr12:117001225-117001396,-0.0264591,-0.039192,-0.0408285,-0.0383557,0.0560845,0.13096958,0.16338832,-0.1377169,0.05318136,-0.0362088,FALSE,0,0,0.38327452,0.27722669,-0.0893902,0
chr12:117030253-117030424,0.14099547,0.03440791,0.13850092,-0.0658243,0.36034067,0.3101616,0.22111954,0.05170823,0.23583251,0.06202001,FALSE,1,0,0.15661391,0.08793057,-0.1738125,0
chr12:117042828-117042999,-0.5000899,-0.2540366,-0.2855067,0.3310849,-0.0410483,-0.3749449,0.05661695,0.12767105,-0.0579263,-0.1771371,FALSE,0,0,0.68878401,0.59444744,-0.1192108,0
chr12:117059665-117059836,-0.1393544,-0.1251046,-0.0157425,-0.0387013,-0.7392505,-0.6977013,-0.8390391,-1.0280442,-0.8260088,-0.0797257,FALSE,0,0,0.00468429,0.00070961,0.74628307,0
chr12:117098802-117098973,-0.1108208,-0.0971562,-0.1380719,0.01246651,-0.0999949,-0.1254642,-0.2670954,-0.2402782,-0.1832082,-0.0833956,FALSE,0,0,0.18713505,0.11089165,0.09981258,0
chr1:211799386-211799557,0.13740716,0.29759973,-0.2383442,-0.0294565,0.57404247,0.65913164,0.55169954,0.69647676,0.6203376,0.04180155,FALSE,1,0,0.03251619,0.0115085,-0.578536,0
chr12:11799552-11799723,-0.0194211,0.00857015,0.06512953,-0.1475818,-0.4821607,-0.3460875,-0.5465856,-0.4047385,-0.4448931,-0.0233258,FALSE,0,0,0.0038847,0.00053474,0.42156725,0
chr12:118083545-118083716,-0.2726153,-0.3364566,-0.3536572,-0.1876397,-0.3843498,-0.7881197,-0.5917026,-0.3322413,-0.5241034,-0.2875922,FALSE,0,0,0.1785069,0.10417361,0.23651116,0
chr1:211933255-211933426,-0.0260949,0.0614865,-0.2250248,-0.1565521,-0.1825954,0.01153338,-0.1770993,-0.1696671,-0.1294571,-0.0865463,FALSE,0,0,0.70279689,0.61140251,0.04291079,0
chr1:211969333-211969504,0.00882411,0.06127551,0.23637617,0.02633162,-0.170575,-0.4422442,-0.5204625,-0.3983014,-0.3828958,0.08320185,FALSE,0,0,0.01259557,0.00312493,0.4660976,0
chr12:119903029-119903200,-0.0619201,-0.3655145,-0.242509,0.00154718,-0.2564004,-0.2269631,-0.2877962,-0.3020105,-0.2682926,-0.1670991,FALSE,0,0,0.42643732,0.31660783,0.10119346,0
chr12:119942403-119942574,0.11864942,0.36633826,0.15553513,0.28560408,0.30670926,-0.0248821,0.0516098,0.26107424,0.14862781,0.23153172,FALSE,1,1,0.54358629,0.4360472,0.08290391,0
chr12:120008963-120009134,-0.7998862,-0.7868349,-0.9494231,-0.6799966,0.10665649,0.14689482,-0.1369883,0.06724555,0.04595214,-0.8040352,FALSE,0,0,0.00103255,6.00E-05,-0.8499873,0
chr12:120105160-120105331,-0.2320701,-0.3009249,0.17921209,-0.2126795,-0.6131151,-0.1211515,-0.3218735,-0.1145684,-0.2926771,-0.1416156,FALSE,0,0,0.4928587,0.38103648,0.1510615,0
chr12:120107123-120107294,-0.001995,-0.1804698,-0.1626689,-0.2623923,0.35927874,0.02849746,0.12567312,0.0352177,0.13716675,-0.1518815,FALSE,0,0,0.0599034,0.02558015,-0.2890483,0
chr12:120197021-120197191,-0.2638772,0.03751602,0.0781867,-0.1078891,0.11603696,-0.0842467,0.25522171,0.04936085,0.0840932,-0.0640159,FALSE,0,0,0.30733022,0.20840631,-0.1481091,0
chr12:120216497-120216668,0.04523763,-0.0564631,0.13812942,-0.0118734,-0.185906,-0.0646177,0.06644162,-0.1066677,-0.0726874,0.02875766,FALSE,0,0,0.27921918,0.18554523,0.1014451,0
chr12:120474132-120474303,0.22284351,-0.1360629,-0.2329174,-0.3638454,-0.4370163,-0.0826295,-0.4292602,-0.227368,-0.2940685,-0.1274955,FALSE,0,0,0.43066492,0.32083891,0.16657293,0
chr12:120624963-120625134,-0.0238282,-0.1527246,0.07813242,-0.0536569,0.08446866,0.02520717,0.15540843,-0.0106829,0.06360033,-0.0380193,FALSE,0,0,0.22954935,0.14369991,-0.1016196,0
chr12:120678755-120678926,-0.4692616,-0.7833454,-0.7715448,-0.4577977,-0.0659533,-0.2483943,-0.3769822,-0.4460115,-0.2843353,-0.6204874,FALSE,0,0,0.07549584,0.03457107,-0.336152,0
chr12:120766004-120766175,0.06736239,0.10533726,-0.2451442,-0.1308276,-0.0844473,0.02476478,0.13472733,0.04295807,0.02950071,-0.050818,FALSE,0,0,0.54383489,0.43637201,-0.0803188,0
chr12:121192764-121192935,-0.2760545,-0.3815353,-0.2918287,0.06428156,-0.213736,-0.280218,-0.4262767,-0.4386459,-0.3397191,-0.2212843,FALSE,0,0,0.45464753,0.34321329,0.11843489,0
chr12:12119358-12119529,-0.1856877,-0.0935839,0.00035292,0.05397452,-0.67865,-0.5378916,-0.8622449,-0.7710512,-0.7124594,-0.0562361,FALSE,0,0,0.00315368,0.00038757,0.65622339,0
chr12:121817678-121817849,0.43500051,0.20918195,0.15336656,0.35251404,-0.6169216,-0.3561979,-0.1827984,-0.3337429,-0.3724152,0.28751577,FALSE,0,1,0.00721198,0.00143009,0.65993097,2
chr12:121893177-121893348,-0.2754664,-0.3731144,-0.2614299,-0.3288522,-0.3021962,0.05065694,-0.2954405,-0.0001359,-0.1367789,-0.3097157,FALSE,0,0,0.25304432,0.16249215,-0.1729369,0
chr12:122066038-122066209,-0.2234673,0.01712895,-0.5915458,-0.0439983,0.19684643,0.23208744,0.11703638,-0.1099599,0.10900257,-0.2104706,FALSE,0,0,0.17391641,0.10085307,-0.3194732,0
chr12:122068901-122069072,0.06962351,0.0612226,0.12842998,0.01555948,-0.0433964,0.03711313,-0.2862642,0.12558288,-0.0417412,0.06870889,FALSE,0,0,0.41267562,0.30439228,0.11045005,0
chr12:122110924-122111095,0.11421493,-0.1688236,-0.1469536,-0.0001969,-0.0242478,-0.1200224,-0.1564066,-0.2789067,-0.1448959,-0.0504398,FALSE,0,0,0.41898193,0.30991331,0.09445609,0
chr1:212220049-212220220,0.04465384,0.13326623,0.06831979,0.16316805,0.05467583,0.16882464,0.35369983,0.0473721,0.1561431,0.10235198,FALSE,0,0,0.62260789,0.52254848,-0.0537911,0
chr12:123029394-123029565,0.2056983,0.24537862,-0.4236162,0.19275539,-0.1439879,-0.1614802,-0.4257534,-0.3335442,-0.2661914,0.05505404,FALSE,0,0,0.22162678,0.13741167,0.32124546,0
chr12:123067310-123067481,-0.1351808,-0.340686,-0.2890994,-0.228175,0.09774242,0.1277421,-0.0358182,-0.2742223,-0.021139,-0.2482853,FALSE,0,0,0.15138409,0.08408676,-0.2271463,0
chr12:123249340-123249511,-0.6662395,-0.657231,-0.4713615,-0.6016352,-0.2198815,-0.2896783,-0.373202,-0.3706549,-0.3133542,-0.5991168,FALSE,0,0,0.0120918,0.00294419,-0.2857626,0
chr12:123264151-123264322,0.10543223,0.15470531,-0.3673339,-0.0771208,0.3123051,0.28270683,0.36828882,0.30399894,0.31682492,-0.0460793,FALSE,1,0,0.10523694,0.05275193,-0.3629042,0
chr12:123973411-123973582,-0.0976929,-0.0408412,0.26923136,-0.0628441,-0.2998225,-0.3198558,-0.2084453,-0.2080743,-0.2590495,0.01696329,FALSE,0,0,0.0864125,0.04108429,0.27601277,0
chr12:124058900-124059071,-0.2830613,-0.231626,-0.1121269,-0.2803172,0.1892266,-0.2017436,0.06870126,-0.1623348,-0.0265376,-0.2267829,FALSE,0,0,0.19786775,0.11903088,-0.2002452,0
chr12:124314328-124314499,-0.2778343,-0.4667673,-0.3112,-0.1153703,-0.470441,-0.1834925,-0.338036,-0.0581069,-0.2625191,-0.292793,FALSE,0,0,0.85578387,0.80191506,-0.0302739,0
chr12:124331268-124331439,-0.6079826,-0.7348539,-0.9373555,-0.9648414,-0.446478,-0.4423338,-0.3445861,-0.1156964,-0.3372736,-0.8112584,FALSE,0,0,0.02094901,0.00632286,-0.4739848,0
chr12:124379093-124379264,0.1440553,0.02757158,0.1084765,0.049647,0.14964024,0.35803174,0.02968065,0.18311063,0.18011582,0.0824376,FALSE,1,0,0.35693574,0.25290836,-0.0976782,0
chr12:124408302-124408473,0.02073219,0.09164193,0.01250419,0.13236449,-0.2710611,-0.3363273,-0.093245,-0.1362606,-0.2092235,0.0643107,FALSE,0,0,0.02947871,0.01008679,0.2735342,0
chr12:12441821-12441992,0.12180332,-0.2289889,-0.2874577,0.13869436,-0.1435702,0.1636176,0.04267181,0.32654011,0.09731484,-0.0639872,FALSE,0,0,0.43475083,0.32478503,-0.1613021,0
chr12:12445864-12446030,-0.347349,-0.1764879,0.06142333,0.02073484,0.20633856,0.34758614,0.05087969,0.09529991,0.17502608,-0.1104197,FALSE,0,0,0.10539032,0.05290171,-0.2854458,0
chr12:124554601-124554772,-0.0441905,0.02541626,0.04339173,0.04649155,-0.3414951,-0.0206178,0.04571652,-0.2841665,-0.1501407,0.01777727,FALSE,0,0,0.26930401,0.17672105,0.167918,0
chr12:124562753-124562924,0.02469503,0.24657564,0.1729328,0.14266019,-1.1323508,-1.0175567,-0.801946,-1.021729,-0.9933956,0.14671591,FALSE,0,1,0.00067974,2.66E-05,1.14011151,2
chr12:124779976-124780147,-0.1144271,-0.0839378,-0.354857,-0.1523239,-0.3210592,-0.4432033,-0.7755997,-0.5239964,-0.5159646,-0.1763865,FALSE,0,0,0.06810287,0.03007079,0.33957818,0
chr12:124898382-124898553,0.10822228,-0.0971034,-0.1088811,-0.2902745,-0.3381433,-0.3055848,-0.0567541,-0.2041602,-0.2261606,-0.0970092,FALSE,0,0,0.36509819,0.25978626,0.12915143,0
chr12:124925404-124925575,-0.306436,-0.0174316,-0.3156154,0.04822339,0.06654189,0.10954688,-0.0835042,0.07882234,0.04285172,-0.1478149,FALSE,0,0,0.22379682,0.13901513,-0.1906666,0
chr12:125002651-125002822,0.05531346,-0.0625903,-0.1522791,0.26929728,-0.1932616,0.01317972,-0.1373084,0.30901485,-0.0020939,0.02743535,FALSE,0,0,0.88670501,0.84540586,0.02952921,0
chr12:125006406-125006577,0.84105411,0.72209418,0.84900637,0.81746117,0.42167607,0.39598643,0.39720634,0.47398415,0.42221324,0.80740396,FALSE,1,1,0.00137,9.60E-05,0.38519072,0
chr12:12502597-12502768,0.00411295,-0.4547271,0.15602128,-0.5361097,0.40373485,0.78168079,0.77278602,0.76320857,0.68035256,-0.2076756,FALSE,1,0,0.02277259,0.00708854,-0.8880282,1
chr12:127349950-127350121,0.01680589,0.08721853,-0.1810334,-0.276859,-0.9135602,-0.7721466,-0.5919221,-0.4687625,-0.6865979,-0.088467,FALSE,0,0,0.01441664,0.00381939,0.59813085,0
chr1:21276726-21276897,0.22535713,0.18470671,0.5020247,0.24807709,-0.0044849,0.00847616,0.05583408,0.19056375,0.06259728,0.29004141,FALSE,0,1,0.09001423,0.04323257,0.22744412,0
chr12:12823414-12823585,0.10987405,0.72667624,0.45202633,0.3743527,0.24520317,0.17510003,0.26558228,0.37468087,0.26514159,0.41573233,FALSE,1,1,0.43812486,0.32821482,0.15059074,0
chr12:128403932-128404103,-0.3255351,-0.5386323,-0.4876481,-0.6275803,0.09384504,-0.1419833,0.09723889,0.27739829,0.08162473,-0.494849,FALSE,0,0,0.00975184,0.00217657,-0.5764737,0
chr1:212942572-212942743,-0.1689242,0.10046617,0.24286234,-0.0569571,0.16875794,0.12036625,0.20739557,0.31528604,0.20295145,0.02936179,FALSE,1,0,0.23884319,0.1512802,-0.1735897,0
chr12:12953210-12953381,0.27301135,0.06715983,0.0330248,-0.0025324,0.15597978,0.24054275,0.28882421,0.30397166,0.2473296,0.0926659,FALSE,1,1,0.15020591,0.08332844,-0.1546637,0
chr12:130088104-130088275,0.00613194,-0.3027165,-0.1206051,-0.0827548,-0.5101269,0.01826918,0.06058137,-0.0670114,-0.1245719,-0.1249861,FALSE,0,0,0.99809697,0.99786684,-0.0004142,0
chr12:13013597-13013768,0.00221465,-0.0158453,-0.6464366,-0.2714901,-0.2461562,-0.0125141,-0.0241498,-0.078942,-0.0904405,-0.2328893,FALSE,0,0,0.53708914,0.42848246,-0.1424488,0
