,Unnamed: 0,guide_chr,guide_start,guide_end,score,strand,protospacer_target,intended_target_region,gene_target,source,closest_gene,closest_dist,closest_gene_target,closest_dist_target
3521,3521,chr11,65391040,65391059,.,-,chr11:65391040-65391059(-),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3522,3522,chr11,65391113,65391132,.,+,chr11:65391113-65391132(+),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3523,3523,chr11,65391157,65391176,.,-,chr11:65391157-65391176(-),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3524,3524,chr11,65391202,65391221,.,-,chr11:65391202-65391221(-),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3525,3525,chr11,65391262,65391281,.,+,chr11:65391262-65391281(+),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3526,3526,chr11,65391309,65391328,.,+,chr11:65391309-65391328(+),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3527,3527,chr11,65391385,65391404,.,-,chr11:65391385-65391404(-),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3528,3528,chr11,65391396,65391415,.,+,chr11:65391396-65391415(+),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3529,3529,chr11,65391442,65391461,.,-,chr11:65391442-65391461(-),chr11:65390988-65391488,Element190,TF,FRMD8,4601,DPF2,57386
3530,3530,chr11,65416311,65416330,.,-,chr11:65416311-65416330(-),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3531,3531,chr11,65416354,65416373,.,+,chr11:65416354-65416373(+),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3532,3532,chr11,65416415,65416434,.,+,chr11:65416415-65416434(+),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3533,3533,chr11,65416443,65416462,.,+,chr11:65416443-65416462(+),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3534,3534,chr11,65416497,65416516,.,-,chr11:65416497-65416516(-),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3535,3535,chr11,65416551,65416570,.,+,chr11:65416551-65416570(+),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3536,3536,chr11,65416618,65416637,.,-,chr11:65416618-65416637(-),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3537,3537,chr11,65416667,65416686,.,+,chr11:65416667-65416686(+),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3538,3538,chr11,65416711,65416730,.,-,chr11:65416711-65416730(-),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3539,3539,chr11,65416748,65416767,.,+,chr11:65416748-65416767(+),chr11:65416293-65416793,Element191,TF,NEAT1,6255,DPF2,82691
3540,3540,chr11,65418781,65418800,.,+,chr11:65418781-65418800(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3541,3541,chr11,65418827,65418846,.,+,chr11:65418827-65418846(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3542,3542,chr11,65418882,65418901,.,-,chr11:65418882-65418901(-),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3543,3543,chr11,65418909,65418928,.,+,chr11:65418909-65418928(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3544,3544,chr11,65418980,65418999,.,+,chr11:65418980-65418999(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3545,3545,chr11,65419039,65419058,.,+,chr11:65419039-65419058(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3546,3546,chr11,65419098,65419117,.,+,chr11:65419098-65419117(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3547,3547,chr11,65419144,65419163,.,-,chr11:65419144-65419163(-),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3548,3548,chr11,65419159,65419178,.,-,chr11:65419159-65419178(-),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3549,3549,chr11,65419208,65419227,.,+,chr11:65419208-65419227(+),chr11:65418756-65419256,Element192,TF,NEAT1,3792,DPF2,85154
3550,3550,chr11,65422152,65422171,.,+,chr11:65422152-65422171(+),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3551,3551,chr11,65422242,65422261,.,-,chr11:65422242-65422261(-),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3552,3552,chr11,65422343,65422362,.,-,chr11:65422343-65422362(-),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3553,3553,chr11,65422411,65422430,.,-,chr11:65422411-65422430(-),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3554,3554,chr11,65422504,65422523,.,-,chr11:65422504-65422523(-),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3555,3555,chr11,65422606,65422625,.,+,chr11:65422606-65422625(+),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3556,3556,chr11,65422692,65422711,.,+,chr11:65422692-65422711(+),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3557,3557,chr11,65422790,65422809,.,+,chr11:65422790-65422809(+),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3558,3558,chr11,65422889,65422908,.,+,chr11:65422889-65422908(+),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3559,3559,chr11,65422981,65423000,.,+,chr11:65422981-65423000(+),chr11:65422132-65423064,Element193,TF,NEAT1,200,DPF2,88746
3560,3560,chr11,65442220,65442239,.,-,chr11:65442220-65442239(-),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3561,3561,chr11,65442244,65442263,.,+,chr11:65442244-65442263(+),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3562,3562,chr11,65442290,65442309,.,+,chr11:65442290-65442309(+),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3563,3563,chr11,65442333,65442352,.,-,chr11:65442333-65442352(-),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3564,3564,chr11,65442410,65442429,.,+,chr11:65442410-65442429(+),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3565,3565,chr11,65442468,65442487,.,+,chr11:65442468-65442487(+),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3566,3566,chr11,65442528,65442547,.,-,chr11:65442528-65442547(-),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3567,3567,chr11,65442531,65442550,.,-,chr11:65442531-65442550(-),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3568,3568,chr11,65442590,65442609,.,+,chr11:65442590-65442609(+),chr11:65442181-65442681,Element194,TF,MIR612,2027,DPF2,108579
3569,3569,chr11,65448693,65448712,.,-,chr11:65448693-65448712(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3570,3570,chr11,65448731,65448750,.,-,chr11:65448731-65448750(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3571,3571,chr11,65448770,65448789,.,-,chr11:65448770-65448789(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3572,3572,chr11,65448837,65448856,.,+,chr11:65448837-65448856(+),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3573,3573,chr11,65448864,65448883,.,-,chr11:65448864-65448883(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3574,3574,chr11,65448940,65448959,.,-,chr11:65448940-65448959(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3575,3575,chr11,65448974,65448993,.,-,chr11:65448974-65448993(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3576,3576,chr11,65449016,65449035,.,+,chr11:65449016-65449035(+),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3577,3577,chr11,65449068,65449087,.,-,chr11:65449068-65449087(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3578,3578,chr11,65449125,65449144,.,-,chr11:65449125-65449144(-),chr11:65448663-65449163,Element195,TF,MIR612,4455,DPF2,115061
3579,3579,chr11,65470355,65470374,.,-,chr11:65470355-65470374(-),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3580,3580,chr11,65470468,65470487,.,+,chr11:65470468-65470487(+),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3581,3581,chr11,65470496,65470515,.,+,chr11:65470496-65470515(+),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3582,3582,chr11,65470555,65470574,.,-,chr11:65470555-65470574(-),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3583,3583,chr11,65470609,65470628,.,-,chr11:65470609-65470628(-),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3584,3584,chr11,65470646,65470665,.,-,chr11:65470646-65470665(-),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3585,3585,chr11,65470693,65470712,.,+,chr11:65470693-65470712(+),chr11:65470238-65470738,Element196,TF,LOC101927789,15202,DPF2,136636
3586,3586,chr11,65471293,65471312,.,+,chr11:65471293-65471312(+),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3587,3587,chr11,65471329,65471348,.,-,chr11:65471329-65471348(-),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3588,3588,chr11,65471439,65471458,.,-,chr11:65471439-65471458(-),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3589,3589,chr11,65471461,65471480,.,+,chr11:65471461-65471480(+),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3590,3590,chr11,65471533,65471552,.,-,chr11:65471533-65471552(-),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3591,3591,chr11,65471593,65471612,.,-,chr11:65471593-65471612(-),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3592,3592,chr11,65471630,65471649,.,-,chr11:65471630-65471649(-),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3593,3593,chr11,65471734,65471753,.,+,chr11:65471734-65471753(+),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3594,3594,chr11,65471747,65471766,.,+,chr11:65471747-65471766(+),chr11:65471205-65471807,Element197,TF,LOC101927789,16220,DPF2,137654
3595,3595,chr11,65472053,65472072,.,+,chr11:65472053-65472072(+),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3596,3596,chr11,65472083,65472102,.,-,chr11:65472083-65472102(-),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3597,3597,chr11,65472155,65472174,.,+,chr11:65472155-65472174(+),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3598,3598,chr11,65472203,65472222,.,-,chr11:65472203-65472222(-),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3599,3599,chr11,65472235,65472254,.,-,chr11:65472235-65472254(-),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3600,3600,chr11,65472298,65472317,.,+,chr11:65472298-65472317(+),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3601,3601,chr11,65472334,65472353,.,-,chr11:65472334-65472353(-),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3602,3602,chr11,65472395,65472414,.,+,chr11:65472395-65472414(+),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3603,3603,chr11,65472482,65472501,.,-,chr11:65472482-65472501(-),chr11:65472029-65472529,Element198,TF,LOC101927789,16993,DPF2,138427
3604,3604,chr11,65477306,65477325,.,-,chr11:65477306-65477325(-),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3605,3605,chr11,65477348,65477367,.,-,chr11:65477348-65477367(-),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3606,3606,chr11,65477427,65477446,.,-,chr11:65477427-65477446(-),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3607,3607,chr11,65477437,65477456,.,+,chr11:65477437-65477456(+),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3608,3608,chr11,65477519,65477538,.,+,chr11:65477519-65477538(+),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3609,3609,chr11,65477536,65477555,.,-,chr11:65477536-65477555(-),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3610,3610,chr11,65477615,65477634,.,+,chr11:65477615-65477634(+),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3611,3611,chr11,65477635,65477654,.,+,chr11:65477635-65477654(+),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3612,3612,chr11,65477695,65477714,.,+,chr11:65477695-65477714(+),chr11:65477284-65477784,Element199,TF,LINC02736,13373,DPF2,143682
3613,3613,chr11,65479454,65479473,.,-,chr11:65479454-65479473(-),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3614,3614,chr11,65479497,65479516,.,-,chr11:65479497-65479516(-),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3615,3615,chr11,65479544,65479563,.,-,chr11:65479544-65479563(-),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3616,3616,chr11,65479567,65479586,.,-,chr11:65479567-65479586(-),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3617,3617,chr11,65479617,65479636,.,-,chr11:65479617-65479636(-),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3618,3618,chr11,65479671,65479690,.,-,chr11:65479671-65479690(-),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3619,3619,chr11,65479707,65479726,.,+,chr11:65479707-65479726(+),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3620,3620,chr11,65479762,65479781,.,+,chr11:65479762-65479781(+),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3621,3621,chr11,65479843,65479862,.,+,chr11:65479843-65479862(+),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3622,3622,chr11,65479863,65479882,.,+,chr11:65479863-65479882(+),chr11:65479407-65479907,Element200,TF,LINC02736,11250,DPF2,145805
3623,3623,chr11,65487589,65487608,.,-,chr11:65487589-65487608(-),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3624,3624,chr11,65487664,65487683,.,-,chr11:65487664-65487683(-),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3625,3625,chr11,65487679,65487698,.,+,chr11:65487679-65487698(+),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3626,3626,chr11,65487742,65487761,.,+,chr11:65487742-65487761(+),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3627,3627,chr11,65487783,65487802,.,+,chr11:65487783-65487802(+),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3628,3628,chr11,65487828,65487847,.,+,chr11:65487828-65487847(+),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3629,3629,chr11,65487894,65487913,.,+,chr11:65487894-65487913(+),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3630,3630,chr11,65487931,65487950,.,-,chr11:65487931-65487950(-),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3631,3631,chr11,65487966,65487985,.,-,chr11:65487966-65487985(-),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3632,3632,chr11,65488038,65488057,.,-,chr11:65488038-65488057(-),chr11:65487566-65488066,Element201,TF,LINC02736,3091,DPF2,153964
3633,3633,chr11,65489153,65489172,.,+,chr11:65489153-65489172(+),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3634,3634,chr11,65489233,65489252,.,-,chr11:65489233-65489252(-),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3635,3635,chr11,65489271,65489290,.,+,chr11:65489271-65489290(+),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3636,3636,chr11,65489302,65489321,.,-,chr11:65489302-65489321(-),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3637,3637,chr11,65489359,65489378,.,+,chr11:65489359-65489378(+),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3638,3638,chr11,65489402,65489421,.,+,chr11:65489402-65489421(+),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3639,3639,chr11,65489441,65489460,.,-,chr11:65489441-65489460(-),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3640,3640,chr11,65489511,65489530,.,-,chr11:65489511-65489530(-),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3641,3641,chr11,65489581,65489600,.,-,chr11:65489581-65489600(-),chr11:65489138-65489638,Element202,TF,LINC02736,1519,DPF2,155536
3642,3642,chr11,65637834,65637853,.,+,chr11:65637834-65637853(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3643,3643,chr11,65637903,65637922,.,-,chr11:65637903-65637922(-),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3644,3644,chr11,65637979,65637998,.,+,chr11:65637979-65637998(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3645,3645,chr11,65638080,65638099,.,+,chr11:65638080-65638099(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3646,3646,chr11,65638171,65638190,.,+,chr11:65638171-65638190(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3647,3647,chr11,65638249,65638268,.,-,chr11:65638249-65638268(-),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3648,3648,chr11,65638377,65638396,.,+,chr11:65638377-65638396(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3649,3649,chr11,65638432,65638451,.,+,chr11:65638432-65638451(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3650,3650,chr11,65638516,65638535,.,+,chr11:65638516-65638535(+),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3651,3651,chr11,65638616,65638635,.,-,chr11:65638616-65638635(-),chr11:65637795-65638701,Element203,TF,SIPA1,147,OVOL1,148815
3652,3652,chr11,65652642,65652661,.,-,chr11:65652642-65652661(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3653,3653,chr11,65652665,65652684,.,-,chr11:65652665-65652684(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3654,3654,chr11,65652720,65652739,.,-,chr11:65652720-65652739(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3655,3655,chr11,65652759,65652778,.,+,chr11:65652759-65652778(+),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3656,3656,chr11,65652841,65652860,.,-,chr11:65652841-65652860(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3657,3657,chr11,65652863,65652882,.,-,chr11:65652863-65652882(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3658,3658,chr11,65652898,65652917,.,+,chr11:65652898-65652917(+),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3659,3659,chr11,65652952,65652971,.,-,chr11:65652952-65652971(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3660,3660,chr11,65653001,65653020,.,-,chr11:65653001-65653020(-),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3661,3661,chr11,65653054,65653073,.,+,chr11:65653054-65653073(+),chr11:65652598-65653098,Element204,TF,MIR4489,3656,OVOL1,134215
3662,3662,chr11,65662984,65663003,.,-,chr11:65662984-65663003(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3663,3663,chr11,65663000,65663019,.,+,chr11:65663000-65663019(+),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3664,3664,chr11,65663049,65663068,.,-,chr11:65663049-65663068(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3665,3665,chr11,65663107,65663126,.,-,chr11:65663107-65663126(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3666,3666,chr11,65663157,65663176,.,-,chr11:65663157-65663176(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3667,3667,chr11,65663198,65663217,.,-,chr11:65663198-65663217(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3668,3668,chr11,65663279,65663298,.,-,chr11:65663279-65663298(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3669,3669,chr11,65663300,65663319,.,-,chr11:65663300-65663319(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3670,3670,chr11,65663354,65663373,.,-,chr11:65663354-65663373(-),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3671,3671,chr11,65663410,65663429,.,+,chr11:65663410-65663429(+),chr11:65662948-65663448,Element205,TF,RELA-DT,192,OVOL1,123865
3672,3672,chr11,65712100,65712119,.,+,chr11:65712100-65712119(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3673,3673,chr11,65712124,65712143,.,+,chr11:65712124-65712143(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3674,3674,chr11,65712169,65712188,.,+,chr11:65712169-65712188(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3675,3675,chr11,65712218,65712237,.,+,chr11:65712218-65712237(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3676,3676,chr11,65712276,65712295,.,+,chr11:65712276-65712295(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3677,3677,chr11,65712341,65712360,.,-,chr11:65712341-65712360(-),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3678,3678,chr11,65712373,65712392,.,+,chr11:65712373-65712392(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3679,3679,chr11,65712422,65712441,.,+,chr11:65712422-65712441(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3680,3680,chr11,65712492,65712511,.,+,chr11:65712492-65712511(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3681,3681,chr11,65712519,65712538,.,+,chr11:65712519-65712538(+),chr11:65712068-65712568,Element206,TF,KAT5,66,OVOL1,74745
3682,3682,chr11,65720334,65720353,.,+,chr11:65720334-65720353(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3683,3683,chr11,65720373,65720392,.,+,chr11:65720373-65720392(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3684,3684,chr11,65720417,65720436,.,+,chr11:65720417-65720436(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3685,3685,chr11,65720477,65720496,.,+,chr11:65720477-65720496(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3686,3686,chr11,65720519,65720538,.,-,chr11:65720519-65720538(-),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3687,3687,chr11,65720565,65720584,.,-,chr11:65720565-65720584(-),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3688,3688,chr11,65720615,65720634,.,+,chr11:65720615-65720634(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3689,3689,chr11,65720681,65720700,.,+,chr11:65720681-65720700(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3690,3690,chr11,65720714,65720733,.,+,chr11:65720714-65720733(+),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3691,3691,chr11,65720764,65720783,.,-,chr11:65720764-65720783(-),chr11:65720313-65720813,Element207,TF,RNASEH2C,235,OVOL1,66500
3692,3692,chr11,65780856,65780875,.,-,chr11:65780856-65780875(-),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3693,3693,chr11,65780867,65780886,.,-,chr11:65780867-65780886(-),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3694,3694,chr11,65780918,65780937,.,-,chr11:65780918-65780937(-),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3695,3695,chr11,65780968,65780987,.,-,chr11:65780968-65780987(-),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3696,3696,chr11,65781023,65781042,.,+,chr11:65781023-65781042(+),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3697,3697,chr11,65781065,65781084,.,+,chr11:65781065-65781084(+),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3698,3698,chr11,65781115,65781134,.,+,chr11:65781115-65781134(+),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3699,3699,chr11,65781195,65781214,.,+,chr11:65781195-65781214(+),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3700,3700,chr11,65781216,65781235,.,+,chr11:65781216-65781235(+),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3701,3701,chr11,65781268,65781287,.,+,chr11:65781268-65781287(+),chr11:65780815-65781315,Element208,TF,AP5B1,89,OVOL1,5998
3702,3702,chr11,65818004,65818023,.,+,chr11:65818004-65818023(+),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3703,3703,chr11,65818048,65818067,.,-,chr11:65818048-65818067(-),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3704,3704,chr11,65818100,65818119,.,-,chr11:65818100-65818119(-),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3705,3705,chr11,65818186,65818205,.,+,chr11:65818186-65818205(+),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3706,3706,chr11,65818218,65818237,.,+,chr11:65818218-65818237(+),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3707,3707,chr11,65818281,65818300,.,+,chr11:65818281-65818300(+),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3708,3708,chr11,65818320,65818339,.,-,chr11:65818320-65818339(-),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3709,3709,chr11,65818374,65818393,.,-,chr11:65818374-65818393(-),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3710,3710,chr11,65818444,65818463,.,-,chr11:65818444-65818463(-),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3711,3711,chr11,65818448,65818467,.,-,chr11:65818448-65818467(-),chr11:65817996-65818496,Element209,TF,LOC124902693,15553,OVOL1,31183
3712,3712,chr11,65858028,65858047,.,-,chr11:65858028-65858047(-),chr11:65858017-65858517,Element210,TF,CFL1,87,OVOL1,71204
