,pval_outlier,target_region,target_name
chr1:201461805-201461824(-),0.9995,chr1:201461492-201461992,Element57
chr1:201461881-201461900(-),0.9999,chr1:201461492-201461992,Element57
chr1:201461892-201461911(+),0.9991,chr1:201461492-201461992,Element57
chr1:201469022-201469041(-),0.9333,chr1:201469002-201469502,Element58
chr1:201469070-201469089(-),0.9961,chr1:201469002-201469502,Element58
chr1:201469104-201469123(+),0.9333,chr1:201469002-201469502,Element58
chr1:201469166-201469185(-),0.9923,chr1:201469002-201469502,Element58
chr1:201469205-201469224(-),0.641,chr1:201469002-201469502,Element58
chr1:201469384-201469403(-),0.7925,chr1:201469002-201469502,Element58
chr1:201469454-201469473(+),0.4637,chr1:201469002-201469502,Element58
chr1:201480501-201480520(-),0.9516,chr1:201480463-201480963,Element59
chr1:201480525-201480544(+),0.3147,chr1:201480463-201480963,Element59
chr1:201480577-201480596(+),0.2017,chr1:201480463-201480963,Element59
chr1:201480616-201480635(-),1.0,chr1:201480463-201480963,Element59
chr1:201480680-201480699(-),0.9999,chr1:201480463-201480963,Element59
chr1:201480800-201480819(-),0.9999,chr1:201480463-201480963,Element59
chr1:201480926-201480945(+),1.0,chr1:201480463-201480963,Element59
chr1:201481884-201481903(-),0.8685,chr1:201481840-201482340,Element60
chr1:201481909-201481928(+),0.7767,chr1:201481840-201482340,Element60
chr1:201481942-201481961(-),0.6569,chr1:201481840-201482340,Element60
chr1:201482017-201482036(+),1.0,chr1:201481840-201482340,Element60
chr1:201482046-201482065(-),1.0,chr1:201481840-201482340,Element60
chr1:201482091-201482110(+),0.3147,chr1:201481840-201482340,Element60
chr1:201482260-201482279(+),0.9991,chr1:201481840-201482340,Element60
chr1:201486050-201486069(-),0.1175,chr1:201486002-201486502,Element61
chr1:201486054-201486073(-),0.9991,chr1:201486002-201486502,Element61
chr1:201486134-201486153(-),0.9971,chr1:201486002-201486502,Element61
chr1:201486187-201486206(-),0.9984,chr1:201486002-201486502,Element61
chr1:201486241-201486260(+),0.9971,chr1:201486002-201486502,Element61
chr1:201486290-201486309(+),0.9863,chr1:201486002-201486502,Element61
chr1:201486333-201486352(+),0.8264,chr1:201486002-201486502,Element61
chr1:201486400-201486419(-),0.8264,chr1:201486002-201486502,Element61
chr1:201486459-201486478(-),0.2549,chr1:201486002-201486502,Element61
chr1:201494184-201494203(-),1.0,chr1:201494143-201494643,Element62
chr1:201494216-201494235(-),1.0,chr1:201494143-201494643,Element62
chr1:201494285-201494304(-),1.0,chr1:201494143-201494643,Element62
chr1:201494332-201494351(-),1.0,chr1:201494143-201494643,Element62
chr1:201494368-201494387(-),1.0,chr1:201494143-201494643,Element62
chr1:201494421-201494440(-),1.0,chr1:201494143-201494643,Element62
chr1:201494469-201494488(-),1.0,chr1:201494143-201494643,Element62
chr1:201494516-201494535(-),1.0,chr1:201494143-201494643,Element62
chr1:201494587-201494606(-),1.0,chr1:201494143-201494643,Element62
chr1:201494602-201494621(-),1.0,chr1:201494143-201494643,Element62
chr1:201495927-201495946(+),0.9858,chr1:201495872-201496372,Element63
chr1:201496054-201496073(-),0.7217,chr1:201495872-201496372,Element63
chr1:201496075-201496094(+),0.5536,chr1:201495872-201496372,Element63
chr1:201496130-201496149(+),0.9751,chr1:201495872-201496372,Element63
chr1:201496178-201496197(-),0.5536,chr1:201495872-201496372,Element63
chr1:201496223-201496242(+),0.9998,chr1:201495872-201496372,Element63
chr1:201496289-201496308(-),0.9996,chr1:201495872-201496372,Element63
chr1:201500503-201500522(+),0.9915,chr1:201500453-201500953,Element64
chr1:201500594-201500613(+),0.5894,chr1:201500453-201500953,Element64
chr1:201500608-201500627(-),0.9998,chr1:201500453-201500953,Element64
chr1:201500716-201500735(+),0.4487,chr1:201500453-201500953,Element64
chr1:201500786-201500805(+),0.9785,chr1:201500453-201500953,Element64
chr1:201500804-201500823(+),0.7198,chr1:201500453-201500953,Element64
chr1:201500889-201500908(+),0.8264,chr1:201500453-201500953,Element64
chr1:201500914-201500933(-),1.0,chr1:201500453-201500953,Element64
chr1:201503444-201503463(+),0.1605,chr1:201503417-201503917,Element65
chr1:201503541-201503560(-),0.7925,chr1:201503417-201503917,Element65
chr1:201503582-201503601(-),0.9858,chr1:201503417-201503917,Element65
chr1:201503627-201503646(-),0.8982,chr1:201503417-201503917,Element65
chr1:201503686-201503705(+),0.7217,chr1:201503417-201503917,Element65
chr1:201503788-201503807(-),0.641,chr1:201503417-201503917,Element65
chr1:201503817-201503836(+),0.9961,chr1:201503417-201503917,Element65
chr1:201512012-201512031(+),0.9915,chr1:201511985-201512485,Element66
chr1:201512061-201512080(-),0.7767,chr1:201511985-201512485,Element66
chr1:201512115-201512134(+),0.9516,chr1:201511985-201512485,Element66
chr1:201512152-201512171(+),0.9672,chr1:201511985-201512485,Element66
chr1:201512257-201512276(-),0.7198,chr1:201511985-201512485,Element66
chr1:201512340-201512359(-),0.9031,chr1:201511985-201512485,Element66
chr1:201512411-201512430(-),0.9991,chr1:201511985-201512485,Element66
chr1:201512437-201512456(-),0.9516,chr1:201511985-201512485,Element66
chr1:201512936-201512955(+),0.886,chr1:201512900-201513400,Element67
chr1:201512963-201512982(+),0.9651,chr1:201512900-201513400,Element67
chr1:201513015-201513034(-),0.9651,chr1:201512900-201513400,Element67
chr1:201513057-201513076(+),0.2737,chr1:201512900-201513400,Element67
chr1:201513105-201513124(-),0.9651,chr1:201512900-201513400,Element67
chr1:201513201-201513220(-),0.9343,chr1:201512900-201513400,Element67
chr1:201513359-201513378(+),0.114,chr1:201512900-201513400,Element67
chr1:202808220-202808239(+),0.8168,chr1:202808209-202808709,Element68
chr1:202808535-202808554(+),1.0,chr1:202808209-202808709,Element68
chr1:202808563-202808582(+),0.9924,chr1:202808209-202808709,Element68
chr1:202808619-202808638(-),0.7263,chr1:202808209-202808709,Element68
chr1:202808674-202808693(+),0.6182,chr1:202808209-202808709,Element68
chr1:202810602-202810621(-),0.886,chr1:202810585-202811085,Element69
chr1:202810654-202810673(-),0.9651,chr1:202810585-202811085,Element69
chr1:202810685-202810704(+),0.9969,chr1:202810585-202811085,Element69
chr1:202810936-202810955(+),0.9343,chr1:202810585-202811085,Element69
chr1:202811040-202811059(+),0.7263,chr1:202810585-202811085,Element69
chr1:202860794-202860813(+),1.0,chr1:202860787-202861287,Element70
chr1:202860849-202860868(+),0.9915,chr1:202860787-202861287,Element70
chr1:202860959-202860978(+),0.9516,chr1:202860787-202861287,Element70
chr1:202860987-202861006(-),0.9971,chr1:202860787-202861287,Element70
chr1:202861077-202861096(-),0.9305,chr1:202860787-202861287,Element70
chr1:202861111-202861130(-),0.7198,chr1:202860787-202861287,Element70
chr1:202861190-202861209(+),1.0,chr1:202860787-202861287,Element70
chr1:202888751-202888770(+),0.9785,chr1:202888708-202889208,Element71
chr1:202888824-202888843(-),0.9915,chr1:202888708-202889208,Element71
chr1:202888861-202888880(-),0.9999,chr1:202888708-202889208,Element71
chr1:202888908-202888927(+),1.0,chr1:202888708-202889208,Element71
chr1:202888966-202888985(-),0.1175,chr1:202888708-202889208,Element71
chr1:202889013-202889032(-),0.9971,chr1:202888708-202889208,Element71
chr1:202889127-202889146(-),0.9031,chr1:202888708-202889208,Element71
chr1:202889168-202889187(+),0.1175,chr1:202888708-202889208,Element71
chr1:202926986-202927005(-),0.8982,chr1:202926976-202927476,Element72
chr1:202927027-202927046(-),0.9858,chr1:202926976-202927476,Element72
chr1:202927078-202927097(-),0.2214,chr1:202926976-202927476,Element72
chr1:202927134-202927153(-),0.8982,chr1:202926976-202927476,Element72
chr1:202927183-202927202(-),1.0,chr1:202926976-202927476,Element72
chr1:202927239-202927258(-),0.3757,chr1:202926976-202927476,Element72
chr1:202927290-202927309(-),0.8515,chr1:202926976-202927476,Element72
chr1:202957841-202957860(+),0.9915,chr1:202957764-202958644,Element73
chr1:202957949-202957968(-),0.8264,chr1:202957764-202958644,Element73
chr1:202958059-202958078(+),0.2017,chr1:202957764-202958644,Element73
chr1:202958316-202958335(-),1.0,chr1:202957764-202958644,Element73
chr1:202958380-202958399(-),0.9998,chr1:202957764-202958644,Element73
chr1:202958479-202958498(-),1.0,chr1:202957764-202958644,Element73
chr1:202958586-202958605(+),0.9031,chr1:202957764-202958644,Element73
chr1:229508141-229508160(+),0.886,chr1:229508058-229508558,Element74
chr1:229508158-229508177(-),1.0,chr1:229508058-229508558,Element74
chr1:229508408-229508427(+),0.886,chr1:229508058-229508558,Element74
chr1:229508465-229508484(-),0.9651,chr1:229508058-229508558,Element74
chr1:229508530-229508549(+),0.9651,chr1:229508058-229508558,Element74
chr1:229558647-229558666(-),0.9305,chr1:229558622-229559122,Element75
chr1:229558723-229558742(+),1.0,chr1:229558622-229559122,Element75
chr1:229558783-229558802(-),0.9785,chr1:229558622-229559122,Element75
chr1:229558826-229558845(-),0.9516,chr1:229558622-229559122,Element75
chr1:229558905-229558924(+),0.6569,chr1:229558622-229559122,Element75
chr1:229559013-229559032(+),0.7767,chr1:229558622-229559122,Element75
chr1:229559026-229559045(-),0.5193,chr1:229558622-229559122,Element75
chr1:229559090-229559109(+),0.9516,chr1:229558622-229559122,Element75
chr1:229625412-229625431(-),0.9949,chr1:229625399-229625899,Element76
chr1:229625511-229625530(-),0.9991,chr1:229625399-229625899,Element76
chr1:229625564-229625583(-),0.9998,chr1:229625399-229625899,Element76
chr1:229625599-229625618(-),0.4487,chr1:229625399-229625899,Element76
chr1:229625658-229625677(+),0.9991,chr1:229625399-229625899,Element76
chr1:229625826-229625845(-),0.9949,chr1:229625399-229625899,Element76
chr1:229625862-229625881(-),0.9672,chr1:229625399-229625899,Element76
chr1:229625962-229625981(+),0.8982,chr1:229625953-229626453,Element77
chr1:229626057-229626076(+),0.9333,chr1:229625953-229626453,Element77
chr1:229626103-229626122(+),0.9858,chr1:229625953-229626453,Element77
chr1:229626180-229626199(-),0.4637,chr1:229625953-229626453,Element77
chr1:229626208-229626227(+),0.9991,chr1:229625953-229626453,Element77
chr1:229626402-229626421(+),0.9333,chr1:229625953-229626453,Element77
chr1:229626417-229626436(-),0.4637,chr1:229625953-229626453,Element77
chr1:229694181-229694200(-),0.9984,chr1:229694160-229694660,Element78
chr1:229694224-229694243(+),0.9999,chr1:229694160-229694660,Element78
chr1:229694268-229694287(-),0.9516,chr1:229694160-229694660,Element78
chr1:229694310-229694329(-),0.9915,chr1:229694160-229694660,Element78
chr1:229694363-229694382(-),0.9672,chr1:229694160-229694660,Element78
chr1:229694410-229694429(+),0.4487,chr1:229694160-229694660,Element78
chr1:229694507-229694526(-),0.2549,chr1:229694160-229694660,Element78
chr1:229694613-229694632(-),0.9672,chr1:229694160-229694660,Element78
chr10:21912587-21912606(+),0.9305,chr10:21912566-21913066,Element79
chr10:21912661-21912680(+),0.9516,chr10:21912566-21913066,Element79
chr10:21912689-21912708(+),0.9031,chr10:21912566-21913066,Element79
chr10:21912739-21912758(-),0.9031,chr10:21912566-21913066,Element79
chr10:21912810-21912829(+),0.9672,chr10:21912566-21913066,Element79
chr10:21912841-21912860(+),0.9984,chr10:21912566-21913066,Element79
chr10:21912961-21912980(+),0.9672,chr10:21912566-21913066,Element79
chr10:21912971-21912990(-),0.9516,chr10:21912566-21913066,Element79
chr10:21927017-21927036(+),0.9858,chr10:21926922-21927422,Element80
chr10:21927048-21927067(+),0.8982,chr10:21926922-21927422,Element80
chr10:21927114-21927133(+),0.9923,chr10:21926922-21927422,Element80
chr10:21927251-21927270(-),0.9858,chr10:21926922-21927422,Element80
chr10:21927272-21927291(+),0.9751,chr10:21926922-21927422,Element80
chr10:21927378-21927397(+),0.9858,chr10:21926922-21927422,Element80
chr10:22003337-22003356(+),0.9923,chr10:22003310-22003810,Element81
chr10:22003391-22003410(+),0.7217,chr10:22003310-22003810,Element81
chr10:22003420-22003439(+),0.7925,chr10:22003310-22003810,Element81
chr10:22003521-22003540(+),0.8982,chr10:22003310-22003810,Element81
chr10:22003572-22003591(+),0.2214,chr10:22003310-22003810,Element81
chr10:22003646-22003665(-),0.9751,chr10:22003310-22003810,Element81
chr10:22003661-22003680(+),0.9999,chr10:22003310-22003810,Element81
chr10:22129611-22129630(+),1.0,chr10:22129272-22129772,Element82
chr10:22129692-22129711(-),1.0,chr10:22129272-22129772,Element82
chr10:86599677-86599696(+),0.9995,chr10:86599663-86600163,Element83
chr10:86599718-86599737(+),1.0,chr10:86599663-86600163,Element83
chr10:86599771-86599790(+),0.5894,chr10:86599663-86600163,Element83
chr10:86599873-86599892(+),1.0,chr10:86599663-86600163,Element83
chr10:86599979-86599998(+),0.9971,chr10:86599663-86600163,Element83
chr10:86600104-86600123(+),0.7198,chr10:86599663-86600163,Element83
chr10:86632068-86632087(-),0.9981,chr10:86631979-86632479,Element84
chr10:86632080-86632099(-),0.7925,chr10:86631979-86632479,Element84
chr10:86632184-86632203(+),0.9998,chr10:86631979-86632479,Element84
chr10:86632279-86632298(+),0.9858,chr10:86631979-86632479,Element84
chr10:86632380-86632399(-),0.9858,chr10:86631979-86632479,Element84
chr10:86661608-86661627(-),0.7198,chr10:86661591-86662091,Element85
chr10:86661704-86661723(-),0.7198,chr10:86661591-86662091,Element85
chr10:86661741-86661760(+),0.1175,chr10:86661591-86662091,Element85
chr10:86661794-86661813(-),0.3147,chr10:86661591-86662091,Element85
chr10:86661853-86661872(-),0.9991,chr10:86661591-86662091,Element85
chr10:86661897-86661916(+),0.9863,chr10:86661591-86662091,Element85
chr10:86661958-86661977(+),0.9863,chr10:86661591-86662091,Element85
chr10:86662043-86662062(-),1.0,chr10:86661591-86662091,Element85
chr10:86662912-86662931(+),0.2017,chr10:86662897-86663397,Element86
chr10:86662970-86662989(-),1.0,chr10:86662897-86663397,Element86
chr10:86663009-86663028(+),0.9999,chr10:86662897-86663397,Element86
chr10:86663111-86663130(-),0.2017,chr10:86662897-86663397,Element86
chr10:86663183-86663202(+),0.9971,chr10:86662897-86663397,Element86
chr10:86663264-86663283(-),1.0,chr10:86662897-86663397,Element86
chr10:86663367-86663386(-),0.4487,chr10:86662897-86663397,Element86
chr10:86664729-86664748(+),0.9999,chr10:86664693-86665193,Element87
chr10:86664794-86664813(-),0.9582,chr10:86664693-86665193,Element87
chr10:86664953-86664972(+),0.9751,chr10:86664693-86665193,Element87
chr10:86664993-86665012(-),0.9858,chr10:86664693-86665193,Element87
chr10:86665082-86665101(-),0.4637,chr10:86664693-86665193,Element87
chr10:86665112-86665131(+),0.1117,chr10:86664693-86665193,Element87
chr10:86665152-86665171(+),0.8982,chr10:86664693-86665193,Element87
chr10:86667980-86667999(+),0.9961,chr10:86667967-86668967,Element88
chr10:86668098-86668117(+),0.9751,chr10:86667967-86668967,Element88
chr10:86668177-86668196(-),0.2214,chr10:86667967-86668967,Element88
chr10:86668339-86668358(-),1.0,chr10:86667967-86668967,Element88
chr10:86668689-86668708(-),0.9961,chr10:86667967-86668967,Element88
chr10:86668879-86668898(-),0.9961,chr10:86667967-86668967,Element88
chr10:86672372-86672391(-),0.7198,chr10:86672354-86672854,Element89
chr10:86672444-86672463(+),0.9971,chr10:86672354-86672854,Element89
chr10:86672466-86672485(+),0.6569,chr10:86672354-86672854,Element89
chr10:86672529-86672548(+),0.9971,chr10:86672354-86672854,Element89
chr10:86672554-86672573(-),0.9949,chr10:86672354-86672854,Element89
chr10:86672678-86672697(+),0.9516,chr10:86672354-86672854,Element89
chr10:86672718-86672737(-),0.1175,chr10:86672354-86672854,Element89
chr10:86672790-86672809(-),1.0,chr10:86672354-86672854,Element89
chr10:86684228-86684247(-),0.7263,chr10:86684213-86684713,Element90
chr10:86684284-86684303(-),0.5,chr10:86684213-86684713,Element90
chr10:86684348-86684367(+),0.6182,chr10:86684213-86684713,Element90
chr10:86684364-86684383(+),0.9343,chr10:86684213-86684713,Element90
chr10:86684414-86684433(+),0.2737,chr10:86684213-86684713,Element90
chr10:86684468-86684487(-),0.6182,chr10:86684213-86684713,Element90
chr10:86684673-86684692(-),0.0657,chr10:86684213-86684713,Element90
chr10:86688214-86688233(-),0.9915,chr10:86688184-86688684,Element91
chr10:86688270-86688289(+),0.5193,chr10:86688184-86688684,Element91
chr10:86688323-86688342(-),0.2017,chr10:86688184-86688684,Element91
chr10:86688387-86688406(+),0.9516,chr10:86688184-86688684,Element91
chr10:86688519-86688538(+),0.9949,chr10:86688184-86688684,Element91
chr10:86688551-86688570(+),0.9984,chr10:86688184-86688684,Element91
chr10:86688617-86688636(-),0.9949,chr10:86688184-86688684,Element91
chr10:86688646-86688665(+),1.0,chr10:86688184-86688684,Element91
chr10:86711165-86711184(+),0.8515,chr10:86711109-86711609,Element92
chr10:86711211-86711230(+),0.8982,chr10:86711109-86711609,Element92
chr10:86711261-86711280(-),0.9999,chr10:86711109-86711609,Element92
chr10:86711375-86711394(-),0.9333,chr10:86711109-86711609,Element92
chr10:86711478-86711497(+),0.3757,chr10:86711109-86711609,Element92
chr10:86711517-86711536(+),0.8515,chr10:86711109-86711609,Element92
chr10:86711576-86711595(-),0.641,chr10:86711109-86711609,Element92
chr10:86733188-86733207(+),0.6569,chr10:86733185-86733685,Element93
chr10:86733288-86733307(+),0.9785,chr10:86733185-86733685,Element93
chr10:86733374-86733393(-),0.062,chr10:86733185-86733685,Element93
chr10:86733393-86733412(+),1.0,chr10:86733185-86733685,Element93
chr10:86733439-86733458(+),0.5193,chr10:86733185-86733685,Element93
chr10:86733487-86733506(+),0.9672,chr10:86733185-86733685,Element93
chr10:86733557-86733576(-),0.9785,chr10:86733185-86733685,Element93
chr10:86733643-86733662(+),0.9999,chr10:86733185-86733685,Element93
chr10:86756131-86756150(-),0.9785,chr10:86756112-86756612,Element94
chr10:86756167-86756186(-),0.9998,chr10:86756112-86756612,Element94
chr10:86756233-86756252(-),0.9516,chr10:86756112-86756612,Element94
chr10:86756264-86756283(+),0.8264,chr10:86756112-86756612,Element94
chr10:86756331-86756350(-),0.9672,chr10:86756112-86756612,Element94
chr10:86756369-86756388(+),0.4487,chr10:86756112-86756612,Element94
chr10:86756418-86756437(+),0.9672,chr10:86756112-86756612,Element94
chr10:86756542-86756561(+),1.0,chr10:86756112-86756612,Element94
chr10:101643923-101643942(+),0.0864,chr10:101643893-101644393,Element95
chr10:101643959-101643978(-),0.5894,chr10:101643893-101644393,Element95
chr10:101644140-101644159(+),1.0,chr10:101643893-101644393,Element95
chr10:101644145-101644164(-),0.8264,chr10:101643893-101644393,Element95
chr10:101644230-101644249(+),0.9785,chr10:101643893-101644393,Element95
chr10:101644251-101644270(+),0.9999,chr10:101643893-101644393,Element95
chr10:101644316-101644335(-),0.8685,chr10:101643893-101644393,Element95
chr10:101644364-101644383(-),0.9785,chr10:101643893-101644393,Element95
chr10:101668579-101668598(-),1.0,chr10:101668557-101669057,Element96
chr10:101668616-101668635(+),1.0,chr10:101668557-101669057,Element96
chr10:101668662-101668681(+),1.0,chr10:101668557-101669057,Element96
chr10:101668738-101668757(-),1.0,chr10:101668557-101669057,Element96
chr10:101668759-101668778(+),1.0,chr10:101668557-101669057,Element96
chr10:101668829-101668848(+),1.0,chr10:101668557-101669057,Element96
chr10:101668884-101668903(+),1.0,chr10:101668557-101669057,Element96
chr10:101668912-101668931(-),1.0,chr10:101668557-101669057,Element96
chr10:101668966-101668985(+),1.0,chr10:101668557-101669057,Element96
chr10:101669007-101669026(+),1.0,chr10:101668557-101669057,Element96
chr10:101694529-101694548(+),0.5894,chr10:101694467-101694967,Element97
chr10:101694570-101694589(-),0.2549,chr10:101694467-101694967,Element97
chr10:101694649-101694668(-),1.0,chr10:101694467-101694967,Element97
chr10:101694680-101694699(-),0.9305,chr10:101694467-101694967,Element97
chr10:101694718-101694737(-),0.9305,chr10:101694467-101694967,Element97
chr10:101694900-101694919(+),0.9949,chr10:101694467-101694967,Element97
chr10:101694934-101694953(-),0.1559,chr10:101694467-101694967,Element97
chr10:101749207-101749226(+),0.9991,chr10:101749195-101749695,Element98
chr10:101749298-101749317(-),0.4487,chr10:101749195-101749695,Element98
chr10:101749388-101749407(-),0.9995,chr10:101749195-101749695,Element98
chr10:101749435-101749454(-),0.7767,chr10:101749195-101749695,Element98
chr10:101749462-101749481(-),0.9999,chr10:101749195-101749695,Element98
chr10:101749552-101749571(+),1.0,chr10:101749195-101749695,Element98
chr10:101749642-101749661(-),0.0864,chr10:101749195-101749695,Element98
chr10:101749667-101749686(-),0.8685,chr10:101749195-101749695,Element98
chr10:101759430-101759449(+),0.9751,chr10:101759417-101759917,Element99
chr10:101759471-101759490(-),0.9923,chr10:101759417-101759917,Element99
chr10:101759523-101759542(+),0.7925,chr10:101759417-101759917,Element99
chr10:101759610-101759629(+),0.9751,chr10:101759417-101759917,Element99
chr10:101759718-101759737(-),0.7925,chr10:101759417-101759917,Element99
chr10:101759769-101759788(+),0.2214,chr10:101759417-101759917,Element99
chr10:101759875-101759894(-),0.9751,chr10:101759417-101759917,Element99
chr10:101768275-101768294(-),0.9991,chr10:101768230-101768730,Element100
chr10:101768341-101768360(-),0.9516,chr10:101768230-101768730,Element100
chr10:101768419-101768438(-),0.9999,chr10:101768230-101768730,Element100
chr10:101768433-101768452(+),0.9991,chr10:101768230-101768730,Element100
chr10:101768495-101768514(+),0.9863,chr10:101768230-101768730,Element100
chr10:101768544-101768563(-),0.7198,chr10:101768230-101768730,Element100
chr10:101768598-101768617(-),0.9863,chr10:101768230-101768730,Element100
chr10:101768671-101768690(-),0.1559,chr10:101768230-101768730,Element100
chr10:101779125-101779144(-),0.641,chr10:101779054-101780054,Element101
chr10:101779165-101779184(+),0.9923,chr10:101779054-101780054,Element101
chr10:101779254-101779273(-),0.9999,chr10:101779054-101780054,Element101
chr10:101779368-101779387(-),0.9751,chr10:101779054-101780054,Element101
chr10:101779491-101779510(+),0.9998,chr10:101779054-101780054,Element101
chr10:101779673-101779692(+),0.641,chr10:101779054-101780054,Element101
chr10:101779767-101779786(+),0.8515,chr10:101779054-101780054,Element101
chr10:101780675-101780694(-),0.9949,chr10:101780568-101781568,Element102
chr10:101780972-101780991(-),1.0,chr10:101780568-101781568,Element102
chr10:101781247-101781266(-),0.062,chr10:101780568-101781568,Element102
chr10:101781270-101781289(-),0.9999,chr10:101780568-101781568,Element102
chr10:101781407-101781426(+),0.8685,chr10:101780568-101781568,Element102
chr10:101781474-101781493(-),1.0,chr10:101780568-101781568,Element102
chr10:101783152-101783171(-),0.3757,chr10:101783137-101783637,Element103
chr10:101783200-101783219(-),0.9751,chr10:101783137-101783637,Element103
chr10:101783261-101783280(-),0.0746,chr10:101783137-101783637,Element103
chr10:101783290-101783309(-),0.9961,chr10:101783137-101783637,Element103
chr10:101783346-101783365(+),0.1605,chr10:101783137-101783637,Element103
chr10:101783416-101783435(+),0.9923,chr10:101783137-101783637,Element103
chr10:101783505-101783524(+),0.9751,chr10:101783137-101783637,Element103
chr10:101783550-101783569(+),0.9858,chr10:101783137-101783637,Element103
chr10:101818357-101818376(-),0.886,chr10:101818345-101818845,Element104
chr10:101818445-101818464(+),0.3818,chr10:101818345-101818845,Element104
chr10:101818496-101818515(-),0.7263,chr10:101818345-101818845,Element104
chr10:101818550-101818569(+),0.6182,chr10:101818345-101818845,Element104
chr10:101818646-101818665(+),0.9829,chr10:101818345-101818845,Element104
chr10:101818736-101818755(+),0.9651,chr10:101818345-101818845,Element104
chr10:101818816-101818835(+),0.7263,chr10:101818345-101818845,Element104
chr10:101830077-101830096(-),1.0,chr10:101830064-101830564,Element105
chr10:101830127-101830146(+),1.0,chr10:101830064-101830564,Element105
chr10:101830213-101830232(+),1.0,chr10:101830064-101830564,Element105
chr10:101830225-101830244(+),1.0,chr10:101830064-101830564,Element105
chr10:101830285-101830304(+),1.0,chr10:101830064-101830564,Element105
chr10:101830326-101830345(+),1.0,chr10:101830064-101830564,Element105
chr10:101830365-101830384(+),1.0,chr10:101830064-101830564,Element105
chr10:101830430-101830449(+),1.0,chr10:101830064-101830564,Element105
chr10:101830466-101830485(+),1.0,chr10:101830064-101830564,Element105
chr10:101830522-101830541(-),1.0,chr10:101830064-101830564,Element105
chr10:101843491-101843510(+),0.9031,chr10:101843484-101843984,Element106
chr10:101843614-101843633(-),0.9915,chr10:101843484-101843984,Element106
chr10:101843714-101843733(+),0.6569,chr10:101843484-101843984,Element106
chr10:101843741-101843760(+),0.9305,chr10:101843484-101843984,Element106
chr10:101843784-101843803(-),0.9031,chr10:101843484-101843984,Element106
chr10:101843846-101843865(-),1.0,chr10:101843484-101843984,Element106
chr10:101843910-101843929(+),0.9915,chr10:101843484-101843984,Element106
chr10:103231128-103231147(+),0.7198,chr10:103231081-103231581,Element107
chr10:103231175-103231194(+),0.9949,chr10:103231081-103231581,Element107
chr10:103231301-103231320(+),0.7767,chr10:103231081-103231581,Element107
chr10:103231373-103231392(+),0.5894,chr10:103231081-103231581,Element107
chr10:103231422-103231441(+),0.9991,chr10:103231081-103231581,Element107
chr10:103231432-103231451(-),0.5894,chr10:103231081-103231581,Element107
chr10:103231514-103231533(+),0.9998,chr10:103231081-103231581,Element107
chr10:103231555-103231574(-),1.0,chr10:103231081-103231581,Element107
chr10:103241179-103241198(-),0.9971,chr10:103241165-103242087,Element108
chr10:103241279-103241298(+),0.7198,chr10:103241165-103242087,Element108
chr10:103241398-103241417(-),1.0,chr10:103241165-103242087,Element108
chr10:103241446-103241465(-),0.9516,chr10:103241165-103242087,Element108
chr10:103241627-103241646(+),0.9863,chr10:103241165-103242087,Element108
chr10:103241723-103241742(-),0.9305,chr10:103241165-103242087,Element108
chr10:103241904-103241923(+),0.8264,chr10:103241165-103242087,Element108
chr10:103242000-103242019(-),0.7767,chr10:103241165-103242087,Element108
chr10:103350652-103350671(+),0.7217,chr10:103350637-103351137,Element109
chr10:103350711-103350730(-),0.9333,chr10:103350637-103351137,Element109
chr10:103350740-103350759(-),0.9999,chr10:103350637-103351137,Element109
chr10:103350906-103350925(+),0.7217,chr10:103350637-103351137,Element109
chr10:103351050-103351069(+),0.9961,chr10:103350637-103351137,Element109
chr10:103351101-103351120(+),1.0,chr10:103350637-103351137,Element109
chr10:103367772-103367791(+),0.641,chr10:103367734-103368234,Element110
chr10:103367808-103367827(+),0.8982,chr10:103367734-103368234,Element110
chr10:103367871-103367890(-),0.3757,chr10:103367734-103368234,Element110
chr10:103367938-103367957(-),0.8515,chr10:103367734-103368234,Element110
chr10:103367985-103368004(-),1.0,chr10:103367734-103368234,Element110
chr10:103368140-103368159(+),0.4637,chr10:103367734-103368234,Element110
chr10:103368187-103368206(-),0.9858,chr10:103367734-103368234,Element110
chr10:103368342-103368361(-),0.9971,chr10:103368332-103368832,Element111
chr10:103368477-103368496(-),0.9991,chr10:103368332-103368832,Element111
chr10:103368503-103368522(-),0.9998,chr10:103368332-103368832,Element111
chr10:103368589-103368608(+),0.9915,chr10:103368332-103368832,Element111
chr10:103368683-103368702(-),0.9971,chr10:103368332-103368832,Element111
chr10:103368758-103368777(+),0.9672,chr10:103368332-103368832,Element111
chr10:103368797-103368816(+),0.6569,chr10:103368332-103368832,Element111
chr10:103396368-103396387(+),0.6182,chr10:103396352-103396852,Element112
chr10:103396420-103396439(-),0.0657,chr10:103396352-103396852,Element112
chr10:103396453-103396472(+),0.8168,chr10:103396352-103396852,Element112
chr10:103396507-103396526(-),0.9829,chr10:103396352-103396852,Element112
chr10:103396560-103396579(-),0.886,chr10:103396352-103396852,Element112
chr10:103396613-103396632(+),0.9969,chr10:103396352-103396852,Element112
chr10:103396804-103396823(-),0.2737,chr10:103396352-103396852,Element112
chr10:103441989-103442008(+),0.9672,chr10:103441969-103442469,Element113
chr10:103442030-103442049(+),0.8264,chr10:103441969-103442469,Element113
chr10:103442120-103442139(-),0.3147,chr10:103441969-103442469,Element113
