,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log,region_name,source,is_enhancer
chr1:109466531-109466957,0.88818359375,0.649,0.4986572265625,0.969,1.1787109375,0.334,1.2955322265625,0.255,0.4285888671875,0.993,0.759033203125,0.77,0.519287109375,0.969,0.9451904296875,0.574,0.94873046875,0.543,0.7044677734375,0.842,0.7469482421875,0.762,0.5697021484375,0.947,1.2081298828125,0.31,1.0438232421875,0.475,1.6375732421875,0.119,0.6978759765625,0.846,0.7542724609375,0.788,0.85986328125,0.656,0.8563232421875,0.664,1.048095703125,0.456,0.64605,0.2584871930045441,0.879449462890625,0.29879523956838844,0.1897271469292493,-0.05578911199769188,SYPL2_P1P2,TimeDep,False
chr6:149317670-149318475,5.7598876953125,0.0,5.9814453125,0.0,6.655517578125,0.0,4.4874267578125,0.002,5.73388671875,0.0,6.5447998046875,0.001,5.6190185546875,0.001,6.583984375,0.0,4.7926025390625,0.003,7.521240234375,0.0,7.26953125,0.0,5.2493896484375,0.0,8.71044921875,0.0,4.323486328125,0.005,7.368896484375,0.0,6.0244140625,0.0,6.703857421875,0.0,3.2178955078125,0.018,5.3824462890625,0.001,5.2728271484375,0.002,0.00165,0.004068815940527998,5.960150146484375,1.2715947940951584,2.779891911959945,0.7752572005067274,TAB2_P1P2,"OpenTargets,CHDgene.au",False
chr1:229625966-229626136,23.9881591796875,0.0,23.0860595703125,0.0,19.8187255859375,0.0,23.484375,0.0,22.7496337890625,0.0,23.7210693359375,0.0,21.8572998046875,0.0,21.80126953125,0.0,23.2327880859375,0.0,25.277099609375,0.0,21.4908447265625,0.0,23.6292724609375,0.0,23.599609375,0.0,22.7740478515625,0.0,20.476318359375,0.0,20.56640625,0.0,20.821044921875,0.0,25.47119140625,0.0,25.044189453125,0.0,23.222412109375,0.0,0.0,0.0,22.8055908203125,1.6158114234569971,5.0,1.3580413279112158,TAF5L_P1P2,TFPerturbSeq,False
chr7:35253814-35254121,335.010498046875,0.0,331.02734375,0.0,330.0831298828125,0.0,352.8907470703125,0.0,333.2083740234375,0.0,325.242919921875,0.0,329.635498046875,0.0,333.2449951171875,0.0,345.2105712890625,0.0,328.1729736328125,0.0,323.2591552734375,0.0,343.4141845703125,0.0,323.506591796875,0.0,352.5496826171875,0.0,324.6444091796875,0.0,324.451416015625,0.0,334.87841796875,0.0,352.9932861328125,0.0,341.3258056640625,0.0,337.8687744140625,0.0,0.0,0.0,335.1309387207031,9.947471488739396,5.0,2.5252145230171315,TBX20_P1P2,"TimeDep,TFPerturbSeq",False
chr17:61399846-61400301,12.6103515625,0.0,14.5936279296875,0.0,11.8199462890625,0.0,9.85693359375,0.0,13.2572021484375,0.0,13.7296142578125,0.0,12.7685546875,0.0,13.0010986328125,0.0,11.50439453125,0.0,16.41259765625,0.0,14.5052490234375,0.0,13.252197265625,0.0,17.3555908203125,0.0,9.99267578125,0.0,13.448974609375,0.0,12.587158203125,0.0,12.4925537109375,0.0,10.544921875,0.0,11.4229736328125,0.0,10.0111083984375,0.0,0.0,0.0,12.75838623046875,1.9967341997552825,5.0,1.105795745268773,TBX2_P1P2,"TimeDep,TFPerturbSeq",False
chr12:114407720-114407979,0.72705078125,0.95,0.8800048828125,0.855,1.208251953125,0.61,0.9459228515625,0.834,0.75537109375,0.933,0.721923828125,0.957,0.6033935546875,0.986,1.1982421875,0.598,0.8624267578125,0.88,1.185302734375,0.648,0.9639892578125,0.805,0.7301025390625,0.949,2.0355224609375,0.14,0.9847412109375,0.767,1.5457763671875,0.377,0.7803955078125,0.944,0.822021484375,0.92,0.572998046875,0.993,0.860595703125,0.889,0.8955078125,0.847,0.7941,0.22120314549966819,0.96397705078125,0.3428524494270042,0.10011933499841488,-0.01593330514043073,TBX5_P1,"TimeDep,TFPerturbSeq",False
chr12:114405669-114406173,22.54931640625,0.0,20.531982421875,0.0,22.6263427734375,0.0,24.98193359375,0.0,20.7457275390625,0.0,20.76953125,0.0,21.0068359375,0.0,22.25244140625,0.0,22.3602294921875,0.0,20.761962890625,0.0,19.015625,0.0,21.7149658203125,0.0,22.287109375,0.0,25.602294921875,0.0,22.4554443359375,0.0,20.22412109375,0.0,21.7000732421875,0.0,24.1527099609375,0.0,24.7509765625,0.0,24.265625,0.0,0.0,0.0,22.237762451171875,1.7658040155714647,5.0,1.3470910866871746,TBX5_P2,"TimeDep,TFPerturbSeq",False
chr5:134114699-134115518,24.309326171875,0.0,25.8521728515625,0.0,20.1048583984375,0.0,22.371826171875,0.0,23.50830078125,0.0,24.8289794921875,0.0,23.9283447265625,0.0,23.11865234375,0.0,24.332275390625,0.0,28.172607421875,0.0,23.953857421875,0.0,25.6981201171875,0.0,27.8653564453125,0.0,22.108642578125,0.0,22.6812744140625,0.0,22.497314453125,0.0,20.7076416015625,0.0,25.534423828125,0.0,22.962646484375,0.0,21.1396484375,0.0,0.0,0.0,23.7838134765625,2.1459798995098436,5.0,1.376281490276208,TCF7_P1P2,TFPerturbSeq,False
chr20:56629301-56629748,6.8746337890625,0.0,5.9141845703125,0.0,7.9642333984375,0.0,9.5894775390625,0.0,6.5989990234375,0.0,5.1348876953125,0.0,5.941650390625,0.0,7.4150390625,0.0,7.6595458984375,0.0,5.1334228515625,0.0,5.7828369140625,0.0,6.7755126953125,0.0,5.9814453125,0.0,9.4915771484375,0.0,7.1971435546875,0.0,6.038818359375,0.0,7.427734375,0.0,8.2904052734375,0.0,8.0606689453125,0.0,8.7615966796875,0.0,0.0,0.0,7.101690673828125,1.323677503452701,5.0,0.8513617519454355,TFAP2C_P1P2,TFPerturbSeq,False
chr16:4272475-4272873,38.9217529296875,0.0,41.3494873046875,0.0,40.9862060546875,0.0,32.8282470703125,0.0,39.740478515625,0.0,42.953125,0.0,40.3167724609375,0.0,40.75048828125,0.0,35.71044921875,0.0,44.917236328125,0.0,43.5205078125,0.0,38.93994140625,0.0,47.77392578125,0.0,33.4163818359375,0.0,43.6776123046875,0.0,41.70947265625,0.0,39.85595703125,0.0,33.3587646484375,0.0,36.138671875,0.0,34.65283203125,0.0,0.0,0.0,39.57591552734375,4.1371001270506405,5.0,1.5974309703789762,TFAP4_P1P2,TFPerturbSeq,False
chr16:3024049-3024277,41.19775390625,0.0,45.2967529296875,0.0,42.6622314453125,0.0,35.20458984375,0.0,43.70849609375,0.0,45.5648193359375,0.0,42.6383056640625,0.0,43.3389892578125,0.0,38.38427734375,0.0,48.268798828125,0.0,46.4105224609375,0.0,41.6553955078125,0.0,51.3460693359375,0.0,36.035400390625,0.0,44.618896484375,0.0,43.031005859375,0.0,43.0377197265625,0.0,35.4156494140625,0.0,39.511474609375,0.0,37.741455078125,0.0,0.0,0.0,42.25343017578125,4.2687315624122855,5.0,1.6258619711778812,THOC6_P1P2,CHDgene.au,False
chr4:165873630-165873899,5.025146484375,0.035,6.008056640625,0.01,5.7679443359375,0.014,3.991455078125,0.09,6.08642578125,0.01,6.0748291015625,0.012,5.17626953125,0.029,6.524169921875,0.011,3.992919921875,0.077,7.5177001953125,0.002,6.15771484375,0.005,5.1143798828125,0.032,8.9183349609375,0.0,4.025634765625,0.088,6.3974609375,0.006,5.3350830078125,0.017,5.1717529296875,0.031,4.539306640625,0.045,5.2645263671875,0.022,4.3218994140625,0.066,0.030100000000000005,0.028639134065121453,5.570550537109375,1.2279369573488192,1.5212892444872406,0.7458981185872681,TLL1_P1P2,"OpenTargets,CHDgene.au",False
chr14:56579770-56580068,4.7193603515625,0.01,6.2452392578125,0.0,6.627197265625,0.002,4.691650390625,0.012,5.9688720703125,0.005,5.6978759765625,0.005,4.9210205078125,0.007,6.894775390625,0.0,4.800537109375,0.009,7.0694580078125,0.0,6.665771484375,0.0,5.634765625,0.008,9.3194580078125,0.0,4.6873779296875,0.017,7.4930419921875,0.0,5.8087158203125,0.003,5.8929443359375,0.006,3.2548828125,0.089,5.1510009765625,0.006,4.272216796875,0.025,0.0102,0.01963777241092171,5.79080810546875,1.3456945584990285,1.9909742579130898,0.7627391736163571,TMEM260_P1P2,CHDgene.au,False
chr6:31575632-31575919,0.759765625,0.963,0.7568359375,0.97,1.6226806640625,0.409,1.9197998046875,0.252,0.9608154296875,0.887,0.9462890625,0.905,0.8084716796875,0.974,1.307373046875,0.625,1.4281005859375,0.516,0.77978515625,0.973,1.15185546875,0.736,0.9224853515625,0.897,1.084228515625,0.794,1.5631103515625,0.42,1.9173583984375,0.253,0.9375,0.921,1.3709716796875,0.547,1.2366943359375,0.687,1.315185546875,0.619,1.729736328125,0.349,0.68485,0.25321870617688325,1.2259521484375,0.37843675965057627,0.16439819849527854,0.08847351906076845,TNF_P1P2,OpenTargets,False
chr3:52453793-52454018,17.903076171875,0.0,18.955322265625,0.0,17.6488037109375,0.0,13.9532470703125,0.0,18.011962890625,0.0,20.205810546875,0.0,18.3072509765625,0.0,17.9267578125,0.0,15.5384521484375,0.0,21.378662109375,0.0,20.5440673828125,0.0,17.1151123046875,0.0,22.7205810546875,0.0,14.0721435546875,0.0,18.9189453125,0.0,18.596923828125,0.0,18.4554443359375,0.0,13.6387939453125,0.001,16.5142822265625,0.0,15.7183837890625,0.0,5e-05,0.00022360679774997898,17.806201171875,2.4270321121164913,4.221848749616356,1.2505712756638288,TNNC1_P1P2,OpenTargets,False
chr1:201421321-201421733,1.8533935546875,0.267,1.4117431640625,0.502,1.889404296875,0.266,2.6917724609375,0.075,1.2298583984375,0.676,1.1771240234375,0.722,1.5264892578125,0.436,1.5740966796875,0.424,2.572998046875,0.097,1.4586181640625,0.514,1.5111083984375,0.449,1.9033203125,0.23,1.6121826171875,0.403,2.50927734375,0.07,1.8524169921875,0.287,1.304931640625,0.597,1.4698486328125,0.474,2.6744384765625,0.061,1.5003662109375,0.458,2.1912841796875,0.118,0.35630000000000006,0.2045650327685036,1.795733642578125,0.48700346028090796,0.4481719888084704,0.2542419191145731,TNNI1_P1,TimeDep,False
chr1:201429770-201429847,4.586181640625,0.019,5.127685546875,0.017,5.8155517578125,0.008,4.1163330078125,0.04,4.7652587890625,0.018,5.26123046875,0.013,4.4122314453125,0.02,5.7655029296875,0.007,4.0250244140625,0.024,6.4404296875,0.001,5.9761962890625,0.005,4.47412109375,0.023,8.1873779296875,0.0,4.12451171875,0.028,7.0736083984375,0.003,4.71728515625,0.019,5.4390869140625,0.009,2.640625,0.229,4.86962890625,0.011,4.5369873046875,0.019,0.02565,0.048875001682595204,5.117742919921875,1.2131401188038708,1.5907433479610904,0.7090784661421174,TNNI1_P2,TimeDep,False
chr1:201377394-201377674,6.604248046875,0.0,7.4752197265625,0.0,6.96875,0.0,4.2169189453125,0.001,6.5477294921875,0.0,7.7779541015625,0.0,6.9117431640625,0.001,6.96142578125,0.0,5.6785888671875,0.0,9.05419921875,0.0,8.40380859375,0.0,6.356201171875,0.0,10.2559814453125,0.0,4.5308837890625,0.005,8.086669921875,0.0,7.279296875,0.0,6.979248046875,0.0,4.392333984375,0.002,5.169677734375,0.0,5.0302734375,0.005,0.0007000000000000001,0.0015593520921743176,6.7340576171875,1.5873112347346212,3.1487416512809245,0.8282768279296381,TNNT2_P1P2,TimeDep,False
chr9:32552356-32552634,3.0576171875,0.03,3.051025390625,0.023,3.8968505859375,0.004,4.24462890625,0.003,3.410400390625,0.011,2.34619140625,0.11,2.3599853515625,0.11,3.330810546875,0.024,3.3311767578125,0.029,2.6864013671875,0.064,3.077392578125,0.024,3.3421630859375,0.016,2.945068359375,0.042,4.3499755859375,0.005,3.5372314453125,0.011,2.8209228515625,0.033,3.5042724609375,0.02,4.2530517578125,0.007,3.323486328125,0.013,4.219970703125,0.005,0.029200000000000004,0.03137984602961119,3.35443115234375,0.6007237568031517,1.5344684430264501,0.5256188826736439,TOPORS_P1P2,TFPerturbSeq,False
chr15:63042822-63043031,3.6646728515625,0.04,2.7279052734375,0.145,2.8326416015625,0.131,4.5528564453125,0.01,2.6912841796875,0.143,2.6279296875,0.165,3.016357421875,0.087,2.53271484375,0.186,4.0582275390625,0.023,2.056884765625,0.361,2.3818359375,0.209,3.13427734375,0.076,1.727783203125,0.528,4.408935546875,0.011,2.3311767578125,0.236,2.6319580078125,0.16,2.6138916015625,0.18,4.30224609375,0.014,3.581787109375,0.034,4.48583984375,0.009,0.1374,0.13108671296431793,3.118060302734375,0.8619378994855251,0.861981660385737,0.4938845101124555,TPM1_P1,OpenTargets,False
chr15:63048440-63048756,1.7547607421875,0.294,1.1849365234375,0.69,1.9730224609375,0.2,3.2149658203125,0.021,1.570556640625,0.423,1.0745849609375,0.779,1.6978759765625,0.314,1.9866943359375,0.187,2.460693359375,0.084,1.0872802734375,0.749,1.1939697265625,0.653,1.6165771484375,0.343,1.3677978515625,0.527,2.768798828125,0.054,1.7852783203125,0.274,1.35205078125,0.571,1.72509765625,0.297,2.85546875,0.043,2.2572021484375,0.136,2.489990234375,0.084,0.33615,0.24834849771196418,1.870880126953125,0.6246043808731987,0.47345396493812264,0.2720459618075568,TPM1_P2,OpenTargets,False
chr2:178807377-178807450,13.2105712890625,0.0,14.316650390625,0.0,13.09033203125,0.0,11.4788818359375,0.0,13.982666015625,0.0,15.04541015625,0.0,13.090576171875,0.0,13.37158203125,0.0,11.641845703125,0.0,16.4390869140625,0.0,16.098876953125,0.0,13.14697265625,0.0,17.20458984375,0.0,10.5648193359375,0.0,13.4608154296875,0.0,13.3873291015625,0.0,14.2637939453125,0.0,10.42626953125,0.0,13.316650390625,0.0,12.4237060546875,0.0,0.0,0.0,13.4980712890625,1.782299276726414,5.0,1.1302717175055261,TTN_P1,OpenTargets,False
chr2:178794917-178794990,1.54736328125,0.41,1.6668701171875,0.307,2.266357421875,0.113,1.3248291015625,0.562,1.8544921875,0.252,1.9407958984375,0.222,1.3828125,0.494,1.9725341796875,0.218,1.2127685546875,0.644,2.728759765625,0.051,2.450439453125,0.079,1.64404296875,0.326,3.20849609375,0.012,1.0167236328125,0.81,2.77490234375,0.054,1.6617431640625,0.331,1.9107666015625,0.212,1.536376953125,0.391,1.3487548828125,0.521,1.612548828125,0.355,0.31820000000000004,0.21326425416666328,1.853118896484375,0.572955777823522,0.49728617642866385,0.26790328463490154,TTN_P2,OpenTargets,False
chr18:79988104-79988508,105.8819580078125,0.002,106.0467529296875,0.003,103.802978515625,0.003,93.3944091796875,0.006,102.850341796875,0.002,106.661865234375,0.006,99.18017578125,0.003,105.73193359375,0.002,98.2244873046875,0.004,131.203369140625,0.0,107.984619140625,0.004,102.252197265625,0.004,117.1962890625,0.001,94.8907470703125,0.008,110.3424072265625,0.003,104.5635986328125,0.002,103.20654296875,0.002,89.0750732421875,0.011,97.0865478515625,0.004,95.359619140625,0.009,0.00395,0.0027810448623342607,103.74679565429688,9.146223822357323,2.402304814074488,2.015974691879091,TXNL4A_P1P2,CHDgene.au,False
chr19:10380434-10380530,4.602294921875,0.022,4.8221435546875,0.017,4.9468994140625,0.012,2.9783935546875,0.147,4.4378662109375,0.024,5.285400390625,0.01,4.3367919921875,0.028,4.8193359375,0.02,3.531005859375,0.059,5.889892578125,0.007,5.8118896484375,0.003,4.017333984375,0.032,6.930419921875,0.003,3.2601318359375,0.107,5.5091552734375,0.006,4.803955078125,0.018,4.862548828125,0.015,2.316162109375,0.323,4.2020263671875,0.022,3.6622314453125,0.056,0.04655,0.07455233061413977,4.5512939453125,1.0857196103944258,1.3319870283581678,0.658134885320651,TYK2_P1P2,OpenTargets,False
chr16:4847461-4847749,1.8963623046875,0.168,1.8936767578125,0.2,2.6124267578125,0.055,2.6212158203125,0.044,1.755615234375,0.246,1.6583251953125,0.3,1.15673828125,0.66,2.1634521484375,0.113,1.9246826171875,0.145,2.1385498046875,0.121,2.030029296875,0.14,1.8165283203125,0.214,2.79541015625,0.039,2.40771484375,0.066,3.0301513671875,0.033,1.582763671875,0.351,2.2845458984375,0.106,1.5399169921875,0.365,2.2767333984375,0.085,2.5560302734375,0.052,0.17514999999999997,0.1528911807721254,2.10704345703125,0.4724048427073229,0.7565650634799121,0.3236734928716239,UBN1_P1P2,TFPerturbSeq,False
chr15:43105842-43106099,25.4412841796875,0.0,27.0771484375,0.0,23.05078125,0.0,23.069580078125,0.0,24.5274658203125,0.0,26.6829833984375,0.0,26.6221923828125,0.0,24.54638671875,0.0,25.966552734375,0.0,28.54248046875,0.0,26.6488037109375,0.0,26.6038818359375,0.0,30.5391845703125,0.0,23.2943115234375,0.0,24.189208984375,0.0,24.5546875,0.0,24.8460693359375,0.0,22.873779296875,0.0,23.750732421875,0.0,21.5926513671875,0.0,0.0,0.0,25.22100830078125,2.1507472846612314,5.0,1.4017624450725892,UBR1_P1P2,CHDgene.au,False
chr7:1232867-1233128,3.6295166015625,0.189,3.7803955078125,0.155,4.3916015625,0.085,3.661865234375,0.155,3.95263671875,0.127,3.59619140625,0.21,3.644775390625,0.174,4.8829345703125,0.05,4.0562744140625,0.089,4.9300537109375,0.059,4.492919921875,0.073,3.63671875,0.162,6.1583251953125,0.02,3.3499755859375,0.218,4.955322265625,0.069,4.1102294921875,0.138,4.120361328125,0.126,2.51220703125,0.48,3.2218017578125,0.249,2.8150634765625,0.378,0.1603,0.11143659986500702,3.99495849609375,0.8274948788402681,0.7950393858843977,0.6015122717573713,UNCX_P1P2,TFPerturbSeq,False
chr17:1399967-1400141,2.8555908203125,0.093,2.5029296875,0.127,5.048828125,0.003,4.16748046875,0.016,3.598388671875,0.036,3.158203125,0.046,2.822998046875,0.077,4.239501953125,0.009,2.840576171875,0.07,2.4989013671875,0.152,3.1982421875,0.051,2.6595458984375,0.107,3.6710205078125,0.026,3.9046630859375,0.021,4.7481689453125,0.01,3.64453125,0.023,3.6981201171875,0.021,3.0562744140625,0.052,4.0672607421875,0.016,4.2398681640625,0.01,0.04830000000000001,0.04298604424694136,3.5310546875,0.7426067693925754,1.31596296251348,0.547904443786705,YWHAE_P1P2,TFPerturbSeq,False
chr8:80486173-80486292,22.027099609375,0.0,22.9921875,0.0,25.416259765625,0.0,19.3966064453125,0.0,23.0787353515625,0.0,24.8297119140625,0.0,22.6253662109375,0.0,24.876953125,0.0,19.582763671875,0.0,25.75,0.0,23.9827880859375,0.0,21.5281982421875,0.0,29.263427734375,0.0,19.8267822265625,0.0,27.0030517578125,0.0,24.0279541015625,0.0,23.213134765625,0.0,18.505126953125,0.0,21.961181640625,0.0,19.8668212890625,0.0,0.0,0.0,22.98770751953125,2.7785074511592827,5.0,1.3614956628195112,ZBTB10_P1P2,TFPerturbSeq,False
chr6:31901544-31902077,18.6583251953125,0.0,18.022216796875,0.0,17.8167724609375,0.0,22.40478515625,0.0,17.848876953125,0.0,15.4556884765625,0.0,16.37841796875,0.0,18.471923828125,0.0,19.572509765625,0.0,16.8597412109375,0.0,16.3614501953125,0.0,19.444580078125,0.0,18.217041015625,0.0,22.1177978515625,0.0,16.802490234375,0.0,15.78515625,0.0,18.1529541015625,0.0,21.0457763671875,0.0,20.819580078125,0.0,20.12744140625,0.0,0.0,0.0,18.51817626953125,2.0197942438446814,5.0,1.267598213713144,ZBTB12_P1P2,TFPerturbSeq,False
chr2:186486254-186486693,13.205078125,0.0,11.9180908203125,0.0,13.9935302734375,0.0,16.2816162109375,0.0,13.0111083984375,0.0,11.684814453125,0.0,11.6650390625,0.0,13.7364501953125,0.0,12.9429931640625,0.0,11.3828125,0.0,10.8511962890625,0.0,12.724853515625,0.0,12.3087158203125,0.0,15.7520751953125,0.0,12.8592529296875,0.0,11.6982421875,0.0,12.633056640625,0.0,15.1201171875,0.0,15.437744140625,0.0,15.6387939453125,0.0,0.0,0.0,13.242279052734375,1.6296945532164753,5.0,1.1219627354699149,ZC3H15_P1P2,TFPerturbSeq,False
chr8:143541215-143541439,2309.88671875,0.0,2310.28515625,0.0,2299.447021484375,0.0,2303.71044921875,0.0,2296.14111328125,0.0,2298.9716796875,0.0,2324.468505859375,0.0,2301.675537109375,0.0,2305.70458984375,0.0,2299.60107421875,0.0,2294.028564453125,0.0,2291.23681640625,0.0,2286.499267578125,0.0,2312.95849609375,0.0,2301.3681640625,0.0,2296.96826171875,0.0,2297.805908203125,0.0,2302.912109375,0.0,2296.41162109375,0.0,2279.396240234375,0.0,0.0,0.0,2300.4738647460936,9.699896865885764,5.0,3.361817303690348,ZC3H3_P1P2,TFPerturbSeq,False
chr2:144519796-144520154,5.74609375,0.0,4.43017578125,0.005,5.542724609375,0.0,6.8602294921875,0.0,4.0819091796875,0.004,4.1990966796875,0.007,5.126953125,0.003,4.912353515625,0.005,6.3406982421875,0.0,4.209716796875,0.005,4.17578125,0.003,4.7635498046875,0.001,4.313720703125,0.008,6.5093994140625,0.0,5.7926025390625,0.0,4.9031982421875,0.0,4.88818359375,0.004,6.6719970703125,0.0,5.7135009765625,0.002,5.6878662109375,0.001,0.0024000000000000002,0.002603641175051019,5.243487548828125,0.8971654754175861,2.6179829574251317,0.7196202410670396,ZEB2_P1,TFPerturbSeq,False
chr2:144517224-144517608,4.9617919921875,0.002,4.851806640625,0.005,4.2308349609375,0.008,6.20458984375,0.002,4.1807861328125,0.012,3.8602294921875,0.016,4.3277587890625,0.015,4.5428466796875,0.009,5.9296875,0.0,4.420166015625,0.006,3.5374755859375,0.02,5.369873046875,0.001,4.7564697265625,0.003,6.479248046875,0.002,4.812744140625,0.007,3.9720458984375,0.011,3.8909912109375,0.013,7.136962890625,0.0,5.029541015625,0.005,5.514404296875,0.002,0.0069500000000000004,0.005871205381485045,4.9005126953125,0.9563292021113031,2.157390760389438,0.6902415186197878,ZEB2_P2,TFPerturbSeq,False
chr8:105318480-105318968,16.1937255859375,0.0,14.31982421875,0.0,16.53173828125,0.0,18.220947265625,0.0,15.1982421875,0.0,14.0439453125,0.0,14.52099609375,0.0,15.8822021484375,0.0,15.7476806640625,0.0,14.6224365234375,0.0,14.3546142578125,0.0,14.6573486328125,0.0,14.8389892578125,0.0,17.54248046875,0.0,15.23193359375,0.0,14.738525390625,0.0,15.64697265625,0.0,17.219970703125,0.0,17.4278564453125,0.0,17.887451171875,0.0,0.0,0.0,15.74139404296875,1.3179453354674922,5.0,1.197043190434744,ZFPM2_P1P2,TFPerturbSeq,False
chr13:99981848-99982255,8.889892578125,0.004,6.6614990234375,0.011,8.284423828125,0.006,10.9520263671875,0.0,6.841796875,0.007,6.730224609375,0.013,7.3245849609375,0.004,8.1378173828125,0.004,9.597412109375,0.001,5.7398681640625,0.025,6.349609375,0.023,7.8734130859375,0.004,5.614013671875,0.027,10.5721435546875,0.001,8.1412353515625,0.005,7.0595703125,0.011,7.982666015625,0.006,9.520751953125,0.001,8.7835693359375,0.001,10.4124755859375,0.0,0.007700000000000001,0.008342030549225441,8.07344970703125,1.573796047559469,2.112945621949043,0.9070591442141985,ZIC2_P1P2,TFPerturbSeq,False
chr13:99970915-99971152,16.91162109375,0.0,18.3697509765625,0.0,18.353515625,0.0,13.143798828125,0.0,16.781005859375,0.0,19.26806640625,0.0,18.105224609375,0.0,18.21337890625,0.0,15.1151123046875,0.0,21.10888671875,0.0,19.640625,0.0,16.266845703125,0.0,23.669677734375,0.0,13.8924560546875,0.0,20.1226806640625,0.0,18.3865966796875,0.0,17.82568359375,0.0,12.7874755859375,0.0,16.015869140625,0.0,14.48388671875,0.0,0.0,0.0,17.42310791015625,2.7374560371690397,5.0,1.2411256264374786,ZIC5_P1P2,TFPerturbSeq,False
chr20:18288534-18288808,1.4534912109375,0.511,1.5152587890625,0.441,2.5462646484375,0.085,2.8765869140625,0.038,1.841064453125,0.281,1.240478515625,0.693,1.2484130859375,0.673,2.4710693359375,0.103,2.0972900390625,0.163,1.6334228515625,0.382,1.794677734375,0.294,1.87109375,0.259,2.669677734375,0.053,2.707275390625,0.066,2.908447265625,0.047,1.4166259765625,0.549,2.168701171875,0.169,2.0631103515625,0.174,2.384765625,0.091,2.7137451171875,0.059,0.25655,0.21497184026114483,2.081072998046875,0.5555825717892556,0.5908110530796159,0.3182873142783844,ZNF133_P1P2,TFPerturbSeq,False
chr3:125374811-125375256,3.3876953125,0.009,4.1807861328125,0.003,3.3533935546875,0.009,3.1689453125,0.017,3.8990478515625,0.002,3.9971923828125,0.002,3.851806640625,0.003,3.9381103515625,0.004,4.236328125,0.003,5.2315673828125,0.001,4.371826171875,0.001,4.1051025390625,0.004,5.8468017578125,0.001,3.03271484375,0.015,4.1458740234375,0.005,3.5867919921875,0.007,3.466796875,0.01,3.4056396484375,0.005,3.2655029296875,0.014,2.665283203125,0.038,0.007650000000000001,0.008628441342444185,3.8568603515625,0.73846699676034,2.115771230367396,0.5862339143019313,ZNF148_P1P2,TFPerturbSeq,False
chr6:27472838-27473106,1.8228759765625,0.173,1.3251953125,0.451,1.4205322265625,0.386,2.377685546875,0.06,1.1953125,0.54,1.51513671875,0.309,1.4730224609375,0.354,1.408447265625,0.369,1.8154296875,0.156,1.299072265625,0.448,1.30908203125,0.456,1.5028076171875,0.302,1.23388671875,0.504,2.3077392578125,0.071,1.73291015625,0.214,1.130126953125,0.617,1.3336181640625,0.44,2.9913330078125,0.027,2.001708984375,0.12,2.62109375,0.028,0.3012500000000001,0.18334433380075346,1.690850830078125,0.5199242287589727,0.5210585282420094,0.22810529504214228,ZNF184_P1P2,TFPerturbSeq,False
chr17:11997206-11997439,1.5194091796875,0.274,1.74365234375,0.181,1.7578125,0.185,1.3319091796875,0.411,1.246337890625,0.486,1.6358642578125,0.255,1.4222412109375,0.348,1.580078125,0.266,1.5723876953125,0.236,2.0758056640625,0.083,2.37744140625,0.045,1.5623779296875,0.248,2.8267822265625,0.028,1.1773681640625,0.54,2.2281494140625,0.076,1.56640625,0.28,1.9239501953125,0.132,0.8004150390625,0.875,1.247314453125,0.466,1.1470947265625,0.554,0.29845,0.20931101889671014,1.637139892578125,0.472438567121171,0.5251138653497492,0.2140857911889389,ZNF18_P1P2,TFPerturbSeq,False
chr19:12156627-12156719,2.3922119140625,0.123,3.1527099609375,0.032,2.8067626953125,0.066,1.388427734375,0.534,2.676025390625,0.076,3.444091796875,0.02,2.6839599609375,0.066,3.1416015625,0.039,1.705078125,0.356,4.15185546875,0.006,3.471923828125,0.013,2.4296875,0.1,5.1165771484375,0.002,1.5848388671875,0.397,3.7183837890625,0.014,2.74365234375,0.076,2.9490966796875,0.041,1.4471435546875,0.509,2.52734375,0.093,2.0025634765625,0.245,0.14040000000000002,0.17067001093214634,2.77669677734375,0.9375282317645629,0.8526019606523452,0.44352845622974224,ZNF20_P1,TFPerturbSeq,False
chr19:12140149-12140383,38.1324462890625,0.0,40.1895751953125,0.0,37.4820556640625,0.0,33.0142822265625,0.0,38.5487060546875,0.0,40.800537109375,0.0,39.0823974609375,0.0,39.6568603515625,0.0,35.5640869140625,0.0,44.0057373046875,0.0,41.476806640625,0.0,37.5169677734375,0.0,46.0673828125,0.0,32.896240234375,0.0,40.53466796875,0.0,39.074951171875,0.0,37.73974609375,0.0,33.7493896484375,0.0,36.30908203125,0.0,33.8985595703125,0.0,0.0,0.0,38.28702392578125,3.488343130216977,5.0,1.5830516096790335,ZNF20_P2,TFPerturbSeq,False
