,guide_chr,guide_start,guide_end,protospacer_target,transcript_target,closest_gene,closest_dist
3014,chr22,21417567,21417586,HIC2_-_21771859.23-P1-2,HIC2:P1,HIC2,205
3015,chr22,21421149,21421168,HIC2_-_21775458.23-P2-1,HIC2:P2,HIC2,490
3016,chr22,21421058,21421077,HIC2_-_21775458.23-P2-2,HIC2:P2,HIC2,399
3017,chr14,61695556,61695575,HIF1A_+_62162270.23-P1P2-1,HIF1A:P1P2,HIF1A,52
3018,chr14,61695530,61695549,HIF1A_+_62162270.23-P1P2-2,HIF1A:P1P2,HIF1A,26
3019,chr14,61695592,61695611,HIF1A_+_62162306.23-P1P2-1,HIF1A:P1P2,HIF1A,88
3020,chr14,61695605,61695624,HIF1A_+_62162306.23-P1P2-2,HIF1A:P1P2,HIF1A,101
3021,chr14,61695524,61695543,HIF1A_-_62162262.23-P1P2-1,HIF1A:P1P2,HIF1A,20
3022,chr14,61695519,61695538,HIF1A_-_62162262.23-P1P2-2,HIF1A:P1P2,HIF1A,15
3023,chr19,46297243,46297262,HIF3A_+_46800496.23-P2-1,HIF3A:P2,HIF3A,210
3024,chr19,46297303,46297322,HIF3A_+_46800496.23-P2-2,HIF3A:P2,HIF3A,270
3025,chr19,46298414,46298433,HIF3A_+_46801667.23-P1-1,HIF3A:P1,HIF3A,47
3026,chr19,46298497,46298516,HIF3A_+_46801667.23-P1-2,HIF3A:P1,HIF3A,130
3027,chr19,46298426,46298445,HIF3A_+_46801679.23-P1-1,HIF3A:P1,HIF3A,59
3028,chr19,46298477,46298496,HIF3A_+_46801679.23-P1-2,HIF3A:P1,HIF3A,110
3029,chr19,46297095,46297114,HIF3A_-_46800372.23-P2-1,HIF3A:P2,HIF3A,62
3030,chr19,46297253,46297272,HIF3A_-_46800372.23-P2-2,HIF3A:P2,HIF3A,220
3031,chr19,46297098,46297117,HIF3A_-_46800375.23-P2-1,HIF3A:P2,HIF3A,65
3032,chr19,46297059,46297078,HIF3A_-_46800375.23-P2-2,HIF3A:P2,HIF3A,26
3033,chr19,46298596,46298615,HIF3A_-_46801873.23-P1-1,HIF3A:P1,HIF3A,229
3034,chr19,46298551,46298570,HIF3A_-_46801873.23-P1-2,HIF3A:P1,HIF3A,184
3035,chr11,119121633,119121652,HINFP_+_118992339.23-P1P2-1,HINFP:P1P2,HINFP,62
3036,chr11,119121646,119121665,HINFP_+_118992339.23-P1P2-2,HINFP:P1P2,HINFP,75
3037,chr11,119121585,119121604,HINFP_-_118992315.23-P1P2-1,HINFP:P1P2,HINFP,14
3038,chr11,119121581,119121600,HINFP_-_118992315.23-P1P2-2,HINFP:P1P2,HINFP,10
3039,chr11,119121629,119121648,HINFP_-_118992359.23-P1P2-1,HINFP:P1P2,HINFP,58
3040,chr11,119121619,119121638,HINFP_-_118992359.23-P1P2-2,HINFP:P1P2,HINFP,48
3041,chr22,19431693,19431712,HIRA_+_19419212.23-P2-1,HIRA:P2,HIRA,31
3042,chr22,19431712,19431731,HIRA_+_19419212.23-P2-2,HIRA:P2,HIRA,12
3043,chr22,19447675,19447694,HIRA_+_19435194.23-P1-1,HIRA:P1,HIRA,15951
3044,chr22,19447632,19447651,HIRA_+_19435194.23-P1-2,HIRA:P1,HIRA,15908
3045,chr22,19447688,19447707,HIRA_+_19435207.23-P1-1,HIRA:P1,HIRA,15964
3046,chr22,19447616,19447635,HIRA_+_19435207.23-P1-2,HIRA:P1,HIRA,15892
3047,chr22,19431326,19431345,HIRA_-_19418869.23-P2-1,HIRA:P2,HIRA,398
3048,chr22,19431726,19431745,HIRA_-_19418869.23-P2-2,HIRA:P2,HIRA,2
3049,chr22,19431700,19431719,HIRA_-_19419243.23-P2-1,HIRA:P2,HIRA,24
3050,chr22,19431442,19431461,HIRA_-_19419243.23-P2-2,HIRA:P2,HIRA,282
3051,chr22,19447613,19447632,HIRA_-_19435156.23-P1-1,HIRA:P1,HIRA,15889
3052,chr22,19447438,19447457,HIRA_-_19435156.23-P1-2,HIRA:P1,HIRA,15714
3053,chr6,12011754,12011773,HIVEP1_+_12011983.23-P1P2-1,HIVEP1:P1P2,HIVEP1,235
3054,chr6,12012007,12012026,HIVEP1_+_12011983.23-P1P2-2,HIVEP1:P1P2,HIVEP1,18
3055,chr6,12011959,12011978,HIVEP1_+_12012188.23-P1P2-1,HIVEP1:P1P2,HIVEP1,30
3056,chr6,12011962,12011981,HIVEP1_+_12012188.23-P1P2-2,HIVEP1:P1P2,HIVEP1,27
3057,chr6,12012035,12012054,HIVEP1_+_12012264.23-P1P2-1,HIVEP1:P1P2,HIVEP1,46
3058,chr6,12012029,12012048,HIVEP1_+_12012264.23-P1P2-2,HIVEP1:P1P2,HIVEP1,40
3059,chr6,142945001,142945020,HIVEP2_+_143266134.23-P1P2-1,HIVEP2:P1P2,HIVEP2,70
3060,chr6,142945158,142945177,HIVEP2_+_143266134.23-P1P2-2,HIVEP2:P1P2,HIVEP2,9
3061,chr6,142945197,142945216,HIVEP2_+_143266330.23-P1P2-1,HIVEP2:P1P2,HIVEP2,30
3062,chr6,142944950,142944969,HIVEP2_+_143266330.23-P1P2-2,HIVEP2:P1P2,HIVEP2,121
3063,chr6,142945087,142945106,HIVEP2_-_143266244.23-P1P2-1,HIVEP2:P1P2,HIVEP2,16
3064,chr6,142944844,142944863,HIVEP2_-_143266244.23-P1P2-2,HIVEP2:P1P2,HIVEP2,227
3065,chr1,41700886,41700905,"HIVEP3_+_42166553.23-ENST00000247584.5,ENST00000429157.2-1","HIVEP3:ENST00000247584.5,ENST00000429157.2",HIVEP3,72072
3066,chr1,41700973,41700992,"HIVEP3_+_42166553.23-ENST00000247584.5,ENST00000429157.2-2","HIVEP3:ENST00000247584.5,ENST00000429157.2",HIVEP3,72159
3067,chr1,41918667,41918686,HIVEP3_+_42384334.23-ENST00000372583.1-1,HIVEP3:ENST00000372583.1,HIVEP3,246
3068,chr1,41918583,41918602,HIVEP3_+_42384334.23-ENST00000372583.1-2,HIVEP3:ENST00000372583.1,HIVEP3,330
3069,chr1,41918877,41918896,HIVEP3_+_42384544.23-ENST00000372584.1-1,HIVEP3:ENST00000372584.1,HIVEP3,36
3070,chr1,41918442,41918461,HIVEP3_+_42384544.23-ENST00000372584.1-2,HIVEP3:ENST00000372584.1,HIVEP3,471
3071,chr1,41918883,41918902,HIVEP3_+_42384550.23-ENST00000372584.1-1,HIVEP3:ENST00000372584.1,HIVEP3,30
3072,chr1,41918652,41918671,HIVEP3_+_42384550.23-ENST00000372584.1-2,HIVEP3:ENST00000372584.1,HIVEP3,261
3073,chr1,41918887,41918906,HIVEP3_+_42384554.23-ENST00000372584.1-1,HIVEP3:ENST00000372584.1,HIVEP3,26
3074,chr1,41918893,41918912,HIVEP3_+_42384554.23-ENST00000372584.1-2,HIVEP3:ENST00000372584.1,HIVEP3,20
3075,chr1,41700740,41700759,"HIVEP3_-_42166431.23-ENST00000247584.5,ENST00000429157.2-1","HIVEP3:ENST00000247584.5,ENST00000429157.2",HIVEP3,71926
3076,chr1,41700914,41700933,"HIVEP3_-_42166431.23-ENST00000247584.5,ENST00000429157.2-2","HIVEP3:ENST00000247584.5,ENST00000429157.2",HIVEP3,72100
3077,chr1,41700970,41700989,"HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2-1","HIVEP3:ENST00000247584.5,ENST00000429157.2",HIVEP3,72156
3078,chr1,41700771,41700790,"HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2-2","HIVEP3:ENST00000247584.5,ENST00000429157.2",HIVEP3,71957
3079,chr1,41918239,41918258,HIVEP3_-_42383930.23-ENST00000372583.1-1,HIVEP3:ENST00000372583.1,HIVEP3,674
3080,chr1,41918456,41918475,HIVEP3_-_42383930.23-ENST00000372583.1-2,HIVEP3:ENST00000372583.1,HIVEP3,457
3081,chr1,41918652,41918671,HIVEP3_-_42384343.23-ENST00000372583.1-1,HIVEP3:ENST00000372583.1,HIVEP3,261
3082,chr1,41918442,41918461,HIVEP3_-_42384343.23-ENST00000372583.1-2,HIVEP3:ENST00000372583.1,HIVEP3,471
3083,chr19,37317985,37318004,HKR1_+_37808883.23-P1-1,HKR1:P1,ZNF875,99
3084,chr19,37317975,37317994,HKR1_+_37808883.23-P1-2,HKR1:P1,ZNF875,89
3085,chr19,37334702,37334721,HKR1_+_37825600.23-P2-1,HKR1:P2,ZNF875,62
3086,chr19,37334735,37334754,HKR1_+_37825600.23-P2-2,HKR1:P2,ZNF875,95
3087,chr19,37334705,37334724,HKR1_+_37825603.23-P2-1,HKR1:P2,ZNF875,65
3088,chr19,37334666,37334685,HKR1_+_37825603.23-P2-2,HKR1:P2,ZNF875,26
3089,chr19,37317887,37317906,HKR1_-_37808809.23-P1-1,HKR1:P1,ZNF875,1
3090,chr19,37318062,37318081,HKR1_-_37808809.23-P1-2,HKR1:P1,ZNF875,176
3091,chr19,37317921,37317940,HKR1_-_37808843.23-P1-1,HKR1:P1,ZNF875,35
3092,chr19,37317892,37317911,HKR1_-_37808843.23-P1-2,HKR1:P1,ZNF875,6
3093,chr19,37334691,37334710,HKR1_-_37825613.23-P2-1,HKR1:P2,ZNF875,51
3094,chr19,37334673,37334692,HKR1_-_37825613.23-P2-2,HKR1:P2,ZNF875,33
3095,chr17,55265022,55265041,HLF_+_53342379.23-P1-1,HLF:P1,HLF,71
3096,chr17,55265225,55265244,HLF_+_53342379.23-P1-2,HLF:P1,HLF,274
3097,chr17,55265084,55265103,HLF_+_53342441.23-P1-1,HLF:P1,HLF,133
3098,chr17,55265087,55265106,HLF_+_53342441.23-P1-2,HLF:P1,HLF,136
3099,chr17,55267646,55267665,HLF_+_53345003.23-P2-1,HLF:P2,HLF,1433
3100,chr17,55267997,55268016,HLF_+_53345003.23-P2-2,HLF:P2,HLF,1784
3101,chr17,55264968,55264987,HLF_-_53342349.23-P1-1,HLF:P1,HLF,17
3102,chr17,55264965,55264984,HLF_-_53342349.23-P1-2,HLF:P1,HLF,14
3103,chr17,55267674,55267693,HLF_-_53345055.23-P2-1,HLF:P2,HLF,1461
3104,chr17,55267801,55267820,HLF_-_53345055.23-P2-2,HLF:P2,HLF,1588
3105,chr17,55267812,55267831,HLF_-_53345193.23-P2-1,HLF:P2,HLF,1599
3106,chr17,55267816,55267835,HLF_-_53345193.23-P2-2,HLF:P2,HLF,1603
3107,chr3,149086130,149086149,HLTF_+_148803913.23-P1P2-1,HLTF:P1P2,HLTF,394
3108,chr3,149086216,149086235,HLTF_+_148803913.23-P1P2-2,HLTF:P1P2,HLTF,308
3109,chr3,149086498,149086517,HLTF_+_148804281.23-P1P2-1,HLTF:P1P2,HLTF,26
3110,chr3,149086456,149086475,HLTF_+_148804281.23-P1P2-2,HLTF:P1P2,HLTF,68
3111,chr3,149086458,149086477,HLTF_-_148804265.23-P1P2-1,HLTF:P1P2,HLTF,66
3112,chr3,149086490,149086509,HLTF_-_148804265.23-P1P2-2,HLTF:P1P2,HLTF,34
3113,chr1,220879685,220879704,HLX_+_221053023.23-P1P2-1,HLX:P1P2,HLX,251
3114,chr1,220879449,220879468,HLX_+_221053023.23-P1P2-2,HLX:P1P2,HLX,15
3115,chr1,220879691,220879710,HLX_+_221053029.23-P1P2-1,HLX:P1P2,HLX,257
3116,chr1,220879458,220879477,HLX_+_221053029.23-P1P2-2,HLX:P1P2,HLX,24
3117,chr1,220879905,220879924,HLX_+_221053243.23-P1P2-1,HLX:P1P2,HLX,471
3118,chr1,220879643,220879662,HLX_+_221053243.23-P1P2-2,HLX:P1P2,HLX,209
3119,chr8,28890605,28890624,HMBOX1_+_28748118.23-P1P2-1,HMBOX1:P1P2,HMBOX1,94
3120,chr8,28890364,28890383,HMBOX1_+_28748118.23-P1P2-2,HMBOX1:P1P2,HMBOX1,22
3121,chr8,28890616,28890635,HMBOX1_+_28748129.23-P1P2-1,HMBOX1:P1P2,HMBOX1,83
3122,chr8,28890602,28890621,HMBOX1_+_28748129.23-P1P2-2,HMBOX1:P1P2,HMBOX1,97
3123,chr8,28890658,28890677,HMBOX1_-_28748195.23-P1P2-1,HMBOX1:P1P2,HMBOX1,41
3124,chr8,28890392,28890411,HMBOX1_-_28748195.23-P1P2-2,HMBOX1:P1P2,HMBOX1,6
3125,chr15,77420911,77420930,HMG20A_-_77713273.23-P1P2-1,HMG20A:P1P2,HMG20A,32
3126,chr15,77420898,77420917,HMG20A_-_77713273.23-P1P2-2,HMG20A:P1P2,HMG20A,19
3127,chr15,77420933,77420952,HMG20A_-_77713295.23-P1P2-1,HMG20A:P1P2,HMG20A,54
3128,chr15,77420992,77421011,HMG20A_-_77713295.23-P1P2-2,HMG20A:P1P2,HMG20A,113
3129,chr15,77421106,77421125,HMG20A_-_77713468.23-P1P2-1,HMG20A:P1P2,HMG20A,227
3130,chr15,77420938,77420957,HMG20A_-_77713468.23-P1P2-2,HMG20A:P1P2,HMG20A,59
3131,chr19,3573008,3573027,HMG20B_+_3573002.23-P1-1,HMG20B:P1,HMG20B,73
3132,chr19,3573401,3573420,HMG20B_+_3573002.23-P1-2,HMG20B:P1,HMG20B,466
3133,chr19,3573023,3573042,HMG20B_+_3573017.23-P1-1,HMG20B:P1,HMG20B,88
3134,chr19,3572949,3572968,HMG20B_+_3573017.23-P1-2,HMG20B:P1,HMG20B,14
3135,chr19,3573186,3573205,HMG20B_-_3573204.23-P1-1,HMG20B:P1,HMG20B,251
3136,chr19,3573415,3573434,HMG20B_-_3573204.23-P1-2,HMG20B:P1,HMG20B,480
3137,chr19,3574378,3574397,HMG20B_-_3574396.23-P2-1,HMG20B:P2,HMG20B,1443
3138,chr19,3574386,3574405,HMG20B_-_3574396.23-P2-2,HMG20B:P2,HMG20B,1451
3139,chr19,3574390,3574409,HMG20B_-_3574408.23-P2-1,HMG20B:P2,HMG20B,1455
3140,chr19,3574407,3574426,HMG20B_-_3574408.23-P2-2,HMG20B:P2,HMG20B,1472
3141,chr19,3574441,3574460,HMG20B_-_3574459.23-P2-1,HMG20B:P2,HMG20B,1506
3142,chr19,3574338,3574357,HMG20B_-_3574459.23-P2-2,HMG20B:P2,HMG20B,1403
3143,chr6,34236888,34236907,HMGA1_+_34204661.23-P1P2-1,HMGA1:P1P2,HMGA1,24
3144,chr6,34236954,34236973,HMGA1_+_34204661.23-P1P2-2,HMGA1:P1P2,HMGA1,90
3145,chr6,34236895,34236914,HMGA1_-_34204692.23-P1P2-1,HMGA1:P1P2,HMGA1,31
3146,chr6,34237184,34237203,HMGA1_-_34204692.23-P1P2-2,HMGA1:P1P2,HMGA1,320
3147,chr6,34237064,34237083,HMGA1_-_34204861.23-P1P2-1,HMGA1:P1P2,HMGA1,200
3148,chr6,34237196,34237215,HMGA1_-_34204861.23-P1P2-2,HMGA1:P1P2,HMGA1,332
3149,chr12,65825064,65825083,HMGA2_+_66218840.23-P1P2-1,HMGA2:P1P2,HMGA2,590
3150,chr12,65825073,65825092,HMGA2_+_66218840.23-P1P2-2,HMGA2:P1P2,HMGA2,599
3151,chr12,65825182,65825201,HMGA2_+_66218958.23-P1P2-1,HMGA2:P1P2,HMGA2,708
3152,chr12,65825304,65825323,HMGA2_+_66218958.23-P1P2-2,HMGA2:P1P2,HMGA2,830
3153,chr12,65825085,65825104,HMGA2_-_66218885.23-P1P2-1,HMGA2:P1P2,HMGA2,611
3154,chr12,65825083,65825102,HMGA2_-_66218885.23-P1P2-2,HMGA2:P1P2,HMGA2,609
3155,chr13,30465776,30465795,HMGB1_+_31039909.23-P1-1,HMGB1:P1,HMGB1,151
3156,chr13,30465675,30465694,HMGB1_+_31039909.23-P1-2,HMGB1:P1,HMGB1,252
3157,chr13,30617483,30617502,HMGB1_+_31191616.23-P2-1,HMGB1:P2,HMGB1,95
3158,chr13,30617431,30617450,HMGB1_+_31191616.23-P2-2,HMGB1:P2,HMGB1,147
3159,chr13,30465649,30465668,HMGB1_-_31039806.23-P1-1,HMGB1:P1,HMGB1,278
3160,chr13,30465527,30465546,HMGB1_-_31039806.23-P1-2,HMGB1:P1,HMGB1,296
3161,chr13,30465943,30465962,HMGB1_-_31040100.23-P1-1,HMGB1:P1,HMGB1,16
3162,chr13,30465949,30465968,HMGB1_-_31040100.23-P1-2,HMGB1:P1,HMGB1,22
3163,chr13,30617290,30617309,HMGB1_-_31191447.23-P2-1,HMGB1:P2,HMGB1,288
3164,chr13,30617492,30617511,HMGB1_-_31191447.23-P2-2,HMGB1:P2,HMGB1,86
3165,chr13,30617524,30617543,HMGB1_-_31191681.23-P2-1,HMGB1:P2,HMGB1,54
3166,chr13,30617487,30617506,HMGB1_-_31191681.23-P2-2,HMGB1:P2,HMGB1,91
3167,chr4,173334332,173334351,HMGB2_+_174255479.23-P1P2-1,HMGB2:P1P2,HMGB2,17
3168,chr4,173334068,173334087,HMGB2_+_174255479.23-P1P2-2,HMGB2:P1P2,HMGB2,281
3169,chr4,173334382,173334401,HMGB2_+_174255529.23-P1P2-1,HMGB2:P1P2,HMGB2,33
3170,chr4,173334334,173334353,HMGB2_+_174255529.23-P1P2-2,HMGB2:P1P2,HMGB2,15
3171,chr4,173334299,173334318,HMGB2_-_174255470.23-P1P2-1,HMGB2:P1P2,HMGB2,50
3172,chr4,173334241,173334260,HMGB2_-_174255470.23-P1P2-2,HMGB2:P1P2,HMGB2,108
3173,chrX,150983484,150983503,HMGB3_+_150151953.23-P1P2-1,HMGB3:P1P2,HMGB3,158
3174,chrX,150983356,150983375,HMGB3_+_150151953.23-P1P2-2,HMGB3:P1P2,HMGB3,30
3175,chrX,150983680,150983699,HMGB3_-_150152173.23-P1P2-1,HMGB3:P1P2,HMGB3,354
3176,chrX,150983689,150983708,HMGB3_-_150152173.23-P1P2-2,HMGB3:P1P2,HMGB3,363
3177,chrX,150983702,150983721,HMGB3_-_150152195.23-P1P2-1,HMGB3:P1P2,HMGB3,376
3178,chrX,150983336,150983355,HMGB3_-_150152195.23-P1P2-2,HMGB3:P1P2,HMGB3,10
3179,chr1,33864063,33864082,HMGB4_+_34329660.23-P1P2-1,HMGB4:P1P2,HMGB4,7
3180,chr1,33864125,33864144,HMGB4_+_34329660.23-P1P2-2,HMGB4:P1P2,HMGB4,55
3181,chr1,33864295,33864314,HMGB4_+_34329892.23-P1P2-1,HMGB4:P1P2,HMGB4,225
3182,chr1,33864280,33864299,HMGB4_+_34329892.23-P1P2-2,HMGB4:P1P2,HMGB4,210
3183,chr1,33864113,33864132,HMGB4_-_34329734.23-P1P2-1,HMGB4:P1P2,HMGB4,43
3184,chr1,33864151,33864170,HMGB4_-_34329734.23-P1P2-2,HMGB4:P1P2,HMGB4,81
3185,chr1,26472876,26472895,HMGN2_+_26799363.23-P1P2-1,HMGN2:P1P2,HMGN2,445
3186,chr1,26472679,26472698,HMGN2_+_26799363.23-P1P2-2,HMGN2:P1P2,HMGN2,248
3187,chr1,26472691,26472710,HMGN2_-_26799202.23-P1P2-1,HMGN2:P1P2,HMGN2,260
3188,chr1,26472410,26472429,HMGN2_-_26799202.23-P1P2-2,HMGN2:P1P2,HMGN2,21
3189,chr1,26472804,26472823,HMGN2_-_26799315.23-P1P2-1,HMGN2:P1P2,HMGN2,373
3190,chr1,26472448,26472467,HMGN2_-_26799315.23-P1P2-2,HMGN2:P1P2,HMGN2,17
3191,chr6,79234679,79234698,HMGN3_+_79944392.23-P1P2-1,HMGN3:P1P2,HMGN3,6
3192,chr6,79234445,79234464,HMGN3_+_79944392.23-P1P2-2,HMGN3:P1P2,HMGN3,228
3193,chr6,79234727,79234746,HMGN3_+_79944440.23-P1P2-1,HMGN3:P1P2,HMGN3,54
3194,chr6,79234675,79234694,HMGN3_+_79944440.23-P1P2-2,HMGN3:P1P2,HMGN3,2
3195,chr6,79234654,79234673,HMGN3_-_79944391.23-P1P2-1,HMGN3:P1P2,HMGN3,19
3196,chr6,79234689,79234708,HMGN3_-_79944391.23-P1P2-2,HMGN3:P1P2,HMGN3,16
3197,chr5,150000735,150000754,HMGXB3_+_149380294.23-P1P2-1,HMGXB3:P1P2,HMGXB3,5
3198,chr5,150000760,150000779,HMGXB3_+_149380294.23-P1P2-2,HMGXB3:P1P2,HMGXB3,30
3199,chr5,150000745,150000764,HMGXB3_+_149380304.23-P1P2-1,HMGXB3:P1P2,HMGXB3,15
3200,chr5,150000755,150000774,HMGXB3_+_149380304.23-P1P2-2,HMGXB3:P1P2,HMGXB3,25
3201,chr5,150000787,150000806,HMGXB3_+_149380346.23-P1P2-1,HMGXB3:P1P2,HMGXB3,57
3202,chr5,150000722,150000741,HMGXB3_+_149380346.23-P1P2-2,HMGXB3:P1P2,HMGXB3,8
3203,chr22,35257551,35257570,HMGXB4_+_35653540.23-P1P2-1,HMGXB4:P1P2,HMGXB4,67
3204,chr22,35257514,35257533,HMGXB4_+_35653540.23-P1P2-2,HMGXB4:P1P2,HMGXB4,30
3205,chr22,35257503,35257522,HMGXB4_-_35653516.23-P1P2-1,HMGXB4:P1P2,HMGXB4,19
3206,chr22,35257521,35257540,HMGXB4_-_35653516.23-P1P2-2,HMGXB4:P1P2,HMGXB4,37
3207,chr22,35257543,35257562,HMGXB4_-_35653556.23-P1P2-1,HMGXB4:P1P2,HMGXB4,59
3208,chr22,35257537,35257556,HMGXB4_-_35653556.23-P1P2-2,HMGXB4:P1P2,HMGXB4,53
3209,chr4,8871806,8871825,HMX1_+_8873528.23-P1P2-1,HMX1:P1P2,HMX1,24
3210,chr4,8872002,8872021,HMX1_+_8873528.23-P1P2-2,HMX1:P1P2,HMX1,172
3211,chr4,8871837,8871856,HMX1_+_8873559.23-P1P2-1,HMX1:P1P2,HMX1,7
3212,chr4,8871825,8871844,HMX1_+_8873559.23-P1P2-2,HMX1:P1P2,HMX1,5
3213,chr4,8871849,8871868,HMX1_+_8873571.23-P1P2-1,HMX1:P1P2,HMX1,19
3214,chr4,8871797,8871816,HMX1_+_8873571.23-P1P2-2,HMX1:P1P2,HMX1,33
3215,chr10,123148200,123148219,HMX2_+_124907712.23-P1P2-1,HMX2:P1P2,HMX2,73
3216,chr10,123148104,123148123,HMX2_+_124907712.23-P1P2-2,HMX2:P1P2,HMX2,23
3217,chr10,123148162,123148181,HMX2_-_124907698.23-P1P2-1,HMX2:P1P2,HMX2,35
3218,chr10,123148210,123148229,HMX2_-_124907698.23-P1P2-2,HMX2:P1P2,HMX2,83
3219,chr10,123148183,123148202,HMX2_-_124907719.23-P1P2-1,HMX2:P1P2,HMX2,56
3220,chr10,123148137,123148156,HMX2_-_124907719.23-P1P2-2,HMX2:P1P2,HMX2,10
3221,chr10,123135982,123136001,HMX3_+_124895494.23-P1P2-1,HMX3:P1P2,HMX3,21
3222,chr10,123136026,123136045,HMX3_+_124895494.23-P1P2-2,HMX3:P1P2,HMX3,65
3223,chr10,123136204,123136223,HMX3_+_124895716.23-P1P2-1,HMX3:P1P2,HMX3,243
3224,chr10,123136158,123136177,HMX3_+_124895716.23-P1P2-2,HMX3:P1P2,HMX3,197
3225,chr10,123136048,123136067,HMX3_-_124895584.23-P1P2-1,HMX3:P1P2,HMX3,87
3226,chr10,123136360,123136379,HMX3_-_124895584.23-P1P2-2,HMX3:P1P2,HMX3,399
3227,chr12,120978575,120978594,HNF1A_+_121416374.23-P1P2-1,HNF1A:P1P2,HNF1A,41
3228,chr12,120978564,120978583,HNF1A_+_121416374.23-P1P2-2,HNF1A:P1P2,HNF1A,30
3229,chr12,120978550,120978569,HNF1A_-_121416373.23-P1P2-1,HNF1A:P1P2,HNF1A,16
3230,chr12,120978751,120978770,HNF1A_-_121416373.23-P1P2-2,HNF1A:P1P2,HNF1A,217
3231,chr12,120978807,120978826,HNF1A_-_121416630.23-P1P2-1,HNF1A:P1P2,HNF1A,273
3232,chr12,120979119,120979138,HNF1A_-_121416630.23-P1P2-2,HNF1A:P1P2,HNF1A,585
3233,chr17,37744991,37745010,HNF1B_+_36104978.23-P1P2-1,HNF1B:P1P2,HNF1B,59
3234,chr17,37745023,37745042,HNF1B_+_36104978.23-P1P2-2,HNF1B:P1P2,HNF1B,27
3235,chr17,37744999,37745018,HNF1B_+_36104986.23-P1P2-1,HNF1B:P1P2,HNF1B,51
3236,chr17,37745009,37745028,HNF1B_+_36104986.23-P1P2-2,HNF1B:P1P2,HNF1B,41
3237,chr17,37745001,37745020,HNF1B_-_36105012.23-P1P2-1,HNF1B:P1P2,HNF1B,49
3238,chr17,37745027,37745046,HNF1B_-_36105012.23-P1P2-2,HNF1B:P1P2,HNF1B,23
3239,chr20,44401320,44401339,HNF4A_+_43029956.23-P1P2-1,HNF4A:P1P2,HNF4A,90
3240,chr20,44401209,44401228,HNF4A_+_43029956.23-P1P2-2,HNF4A:P1P2,HNF4A,21
3241,chr20,44401322,44401341,HNF4A_-_43029982.23-P1P2-1,HNF4A:P1P2,HNF4A,92
3242,chr20,44401335,44401354,HNF4A_-_43029982.23-P1P2-2,HNF4A:P1P2,HNF4A,105
3243,chr20,44401477,44401496,HNF4A_-_43030137.23-P1P2-1,HNF4A:P1P2,HNF4A,247
3244,chr20,44401236,44401255,HNF4A_-_43030137.23-P1P2-2,HNF4A:P1P2,HNF4A,6
3245,chr8,75407902,75407921,HNF4G_+_76320133.23-P1-1,HNF4G:P1,HNF4G,107
3246,chr8,75407668,75407687,HNF4G_+_76320133.23-P1-2,HNF4G:P1,HNF4G,28
3247,chr8,75408080,75408099,HNF4G_+_76320311.23-P1-1,HNF4G:P1,HNF4G,71
3248,chr8,75408038,75408057,HNF4G_+_76320311.23-P1-2,HNF4G:P1,HNF4G,29
3249,chr8,75408050,75408069,HNF4G_-_76320305.23-P1-1,HNF4G:P1,HNF4G,41
3250,chr8,75408043,75408062,HNF4G_-_76320305.23-P1-2,HNF4G:P1,HNF4G,34
3251,chr8,75539906,75539925,HNF4G_-_76452161.23-P2-1,HNF4G:P2,HNF4G,46
3252,chr8,75540135,75540154,HNF4G_-_76452161.23-P2-2,HNF4G:P2,HNF4G,275
3253,chr8,75539981,75540000,HNF4G_-_76452236.23-P2-1,HNF4G:P2,HNF4G,121
3254,chr8,75540141,75540160,HNF4G_-_76452236.23-P2-2,HNF4G:P2,HNF4G,281
3255,chr8,75540060,75540079,HNF4G_-_76452315.23-P2-1,HNF4G:P2,HNF4G,200
3256,chr8,75539913,75539932,HNF4G_-_76452315.23-P2-2,HNF4G:P2,HNF4G,53
3257,chr9,83980187,83980206,HNRNPK_+_86595098.23-P1P2-1,HNRNPK:P1P2,HNRNPK,19
3258,chr9,83979739,83979758,HNRNPK_+_86595098.23-P1P2-2,HNRNPK:P1P2,HNRNPK,467
3259,chr9,83980190,83980209,HNRNPK_+_86595101.23-P1P2-1,HNRNPK:P1P2,HNRNPK,16
3260,chr9,83979957,83979976,HNRNPK_+_86595101.23-P1P2-2,HNRNPK:P1P2,HNRNPK,249
3261,chr9,83980605,83980624,HNRNPK_+_86595516.23-P1P2-1,HNRNPK:P1P2,HNRNPK,1
3262,chr9,83980381,83980400,HNRNPK_+_86595516.23-P1P2-2,HNRNPK:P1P2,HNRNPK,175
3263,chr1,244864455,244864474,HNRNPU_+_245027753.23-P1P2-1,HNRNPU:P1P2,HNRNPU,61
3264,chr1,244864448,244864467,HNRNPU_+_245027753.23-P1P2-2,HNRNPU:P1P2,HNRNPU,68
3265,chr1,244864475,244864494,HNRNPU_+_245027773.23-P1P2-1,HNRNPU:P1P2,HNRNPU,41
3266,chr1,244864428,244864447,HNRNPU_+_245027773.23-P1P2-2,HNRNPU:P1P2,HNRNPU,88
3267,chr1,244864481,244864500,HNRNPU_+_245027779.23-P1P2-1,HNRNPU:P1P2,HNRNPU,35
3268,chr1,244864256,244864275,HNRNPU_+_245027779.23-P1P2-2,HNRNPU:P1P2,HNRNPU,260
